date,ALII,BBRI,BRPT,CUAN,MPPA,TLKM
2026-05-26,840.0,3070.0,1555.0,505.0,48.0,3090.0
2026-05-27,840.0,3070.0,1555.0,505.0,48.0,3090.0
2026-05-28,840.0,3070.0,1555.0,505.0,48.0,3090.0
2026-05-29,835.0,2950.0,1940.0,630.0,48.0,3030.0
2026-06-02,890.0,3040.0,1930.0,785.0,47.0,2950.0
2026-06-03,815.0,2900.0,1765.0,725.0,45.0,2850.0
2026-06-04,795.0,2810.0,1615.0,725.0,45.0,2900.0
2026-06-05,745.0,2740.0,1480.0,675.0,45.0,2760.0
2026-06-08,720.0,2590.0,1385.0,640.0,43.0,2350.0
2026-06-09,800.0,2790.0,1660.0,775.0,43.0,2620.0
2026-06-10,785.0,2880.0,1760.0,730.0,42.0,2810.0
2026-06-11,785.0,2850.0,1650.0,665.0,40.0,2870.0
2026-06-12,835.0,2850.0,1700.0,720.0,41.0,2860.0
2026-06-15,820.0,2990.0,1770.0,745.0,43.0,2930.0
2026-06-17,810.0,3080.0,1685.0,695.0,44.0,2960.0
2026-06-18,805.0,2960.0,1780.0,710.0,48.0,2780.0
2026-06-19,795.0,2930.0,1700.0,680.0,52.0,2580.0
2026-06-22,800.0,2870.0,1590.0,655.0,52.0,2510.0
2026-06-23,780.0,2910.0,1675.0,685.0,47.0,2540.0
2026-06-24,740.0,2810.0,1515.0,610.0,44.0,2500.0
2026-06-25,745.0,2850.0,1580.0,625.0,48.0,2500.0
2026-06-26,750.0,2870.0,1465.0,565.0,45.0,2480.0
2026-06-29,750.0,2840.0,1405.0,570.0,45.0,2410.0
2026-06-30,710.0,2730.0,1285.0,530.0,44.0,2350.0
2026-07-01,710.0,2670.0,1380.0,620.0,44.0,2440.0
2026-07-02,680.0,2690.0,1500.0,615.0,45.0,2450.0
2026-07-03,695.0,2710.0,1485.0,610.0,45.0,2520.0
2026-07-06,710.0,2790.0,1505.0,615.0,48.0,2480.0
2026-07-07,705.0,2860.0,1580.0,635.0,47.0,2480.0
2026-07-08,685.0,2790.0,1500.0,600.0,47.0,2510.0
2026-07-09,745.0,2780.0,1600.0,620.0,47.0,2510.0
2026-07-10,740.0,2790.0,1620.0,620.0,48.0,2480.0
2026-07-13,760.0,2870.0,1750.0,640.0,48.0,2510.0
2026-07-14,755.0,2800.0,1690.0,630.0,48.0,2560.0
2026-07-15,750.0,2830.0,1690.0,625.0,47.0,2520.0
2026-07-16,760.0,2860.0,1695.0,630.0,46.0,2530.0
2026-07-17,760.0,2970.0,1695.0,630.0,46.0,2660.0
2026-07-20,755.0,3020.0,1800.0,670.0,47.0,2710.0
2026-07-21,725.0,3070.0,1860.0,735.0,47.0,2750.0
2026-07-22,750.0,3020.0,1830.0,720.0,47.0,2700.0
2026-07-23,760.0,2990.0,1790.0,755.0,47.0,2650.0
2026-07-24,755.0,2960.0,1745.0,700.0,47.0,2630.0
2026-07-27,735.0,2950.0,1725.0,690.0,51.0,2590.0
2026-07-28,735.0,2930.0,1745.0,670.0,50.0,2560.0
2026-07-29,710.0,2920.0,1785.0,660.0,48.0,2560.0
2026-07-30,725.0,2990.0,1790.0,650.0,47.0,2670.0
2026-07-31,740.0,3040.0,1845.0,665.0,47.0,2630.0
2026-08-03,760.0,3020.0,1820.0,660.0,46.0,2740.0
2026-08-04,795.0,3060.0,1855.0,665.0,47.0,2790.0
2026-08-05,795.0,3020.0,1870.0,675.0,46.0,2710.0
2026-08-06,800.0,3040.0,1875.0,720.0,47.0,2650.0
2026-08-07,785.0,3130.0,1930.0,740.0,47.0,2710.0
2026-08-10,795.0,3090.0,1860.0,710.0,48.0,2620.0
2026-08-11,765.0,3090.0,1820.0,720.0,52.0,2610.0
2026-08-12,795.0,3130.0,1950.0,870.0,50.0,2590.0
2026-08-13,795.0,3110.0,1865.0,840.0,50.0,2590.0
2026-08-14,815.0,3120.0,1870.0,825.0,49.0,2620.0
2026-08-18,810.0,3080.0,1845.0,840.0,50.0,2600.0
2026-08-19,815.0,3080.0,1855.0,815.0,49.0,2600.0
2026-08-20,825.0,3140.0,1880.0,825.0,48.0,2610.0
2026-08-21,805.0,3230.0,1890.0,835.0,48.0,2610.0
2026-08-24,795.0,3180.0,1860.0,825.0,47.0,2620.0
2026-08-26,760.0,3130.0,1750.0,770.0,45.0,2600.0
2026-08-27,800.0,3150.0,1840.0,815.0,45.0,2610.0
2026-08-28,785.0,3190.0,1830.0,810.0,43.0,2570.0
2026-08-31,780.0,3250.0,1785.0,815.0,44.0,2600.0
2026-09-01,765.0,3380.0,1830.0,905.0,46.0,2610.0
2026-09-02,775.0,3390.0,1820.0,905.0,45.0,2590.0
2026-09-03,785.0,3410.0,1800.0,910.0,45.0,2600.0
2026-09-04,790.0,3390.0,1790.0,940.0,45.0,2610.0
2026-09-07,770.0,3370.0,1770.0,935.0,44.0,2610.0
2026-09-08,795.0,3410.0,1760.0,935.0,44.0,2650.0
2026-09-09,795.0,3420.0,1735.0,940.0,42.0,2660.0
2026-09-10,790.0,3320.0,1730.0,985.0,41.0,2630.0
2026-09-11,795.0,3270.0,1700.0,945.0,42.0,2600.0
