id_pengajuan,tanggal_pengajuan,kota,sektor,omzet_bulanan_juta,lama_usaha_bulan,jumlah_karyawan,pinjaman_diajukan_juta,riwayat_telat_12m,punya_npwp,skor_kredit,status
K-0064,2025-08-18,Yogyakarta,Kuliner,14.5,137.0,2.0,14.9,0.0,Tidak,534.0,Lancar
K-0065,2025-01-11,Surabaya,Kuliner,31.5,93.0,5.0,19.5,4.0,Tidak,422.0,Macet
K-0066,2024-09-10,Surabaya,Kerajinan,16.9,126.0,6.0,9.6,2.0,Tidak,496.0,Lancar
K-0067,2025-10-28,Jakarta,Retail,28.4,101.0,3.0,25.4,0.0,Tidak,633.0,Lancar
K-0068,2024-08-14,Jakarta,Retail,37.5,22.0,2.0,34.9,3.0,Tidak,485.0,Macet
K-0069,2024-12-13,Bandung,Kuliner,36.1,65.0,7.0,26.8,1.0,Tidak,602.0,Lancar
K-0070,2025-08-09,Medan,Retail,56.1,148.0,1.0,42.4,1.0,Ya,544.0,Lancar
K-0071,2025-10-17,Jakarta,Pertanian,38.0,150.0,8.0,26.9,4.0,Ya,362.0,Macet
K-0072,2024-06-27,Surabaya,Kerajinan,22.3,105.0,7.0,18.6,0.0,Ya,670.0,Lancar
K-0073,2024-10-28,Bandung,Kerajinan,49.6,98.0,7.0,29.3,2.0,Ya,514.0,Lancar
K-0074,2025-03-03,Medan,Jasa,16.3,10.0,2.0,7.0,4.0,Ya,389.0,Macet
K-0075,2025-11-15,Bandung,Pertanian,56.3,136.0,8.0,53.0,4.0,Ya,571.0,Lancar
K-0076,2026-02-09,Bandung,Kerajinan,27.7,37.0,8.0,7.6,4.0,Ya,443.0,Lancar
K-0077,2025-12-28,Surabaya,Kuliner,10.2,110.0,6.0,3.2,3.0,Ya,487.0,Lancar
K-0078,2025-06-19,Jakarta,Fashion,10.9,87.0,7.0,9.6,1.0,Ya,631.0,Lancar
K-0079,2025-10-10,Bandung,Kerajinan,49.7,47.0,2.0,26.2,2.0,Ya,536.0,Lancar
K-0080,2025-10-25,Surabaya,Pertanian,24.1,164.0,8.0,21.0,1.0,Tidak,607.0,Macet
K-0081,2026-02-07,Jakarta,Pertanian,14.4,56.0,4.0,14.4,3.0,Tidak,556.0,Macet
K-0082,2026-05-05,Surabaya,Kerajinan,16.6,163.0,5.0,7.4,2.0,Ya,500.0,Lancar
K-0083,2025-07-21,Yogyakarta,Kerajinan,38.3,160.0,1.0,30.0,3.0,Ya,552.0,Lancar
K-0084,2026-03-25,Jakarta,Kerajinan,40.8,14.0,1.0,29.6,4.0,Ya,468.0,Macet
K-0085,2026-02-22,Yogyakarta,Kerajinan,34.8,15.0,8.0,21.4,0.0,Tidak,673.0,Lancar
K-0086,2024-07-14,Medan,Fashion,40.7,11.0,7.0,10.9,4.0,Ya,457.0,Lancar
K-0087,2025-06-08,Makassar,Kuliner,41.5,177.0,6.0,40.0,1.0,Ya,662.0,Lancar
K-0088,2025-05-18,Makassar,Kerajinan,31.5,83.0,2.0,19.5,0.0,Tidak,564.0,Lancar
K-0089,2025-01-12,Bandung,Kuliner,19.9,102.0,6.0,14.8,3.0,Tidak,498.0,Macet
K-0090,2025-10-17,Makassar,Fashion,74.9,62.0,5.0,57.7,2.0,Ya,544.0,Lancar
K-0091,2025-08-31,Bandung,Jasa,39.7,133.0,7.0,23.2,4.0,Ya,467.0,Lancar
K-0092,2024-08-10,Jakarta,Retail,36.7,64.0,4.0,36.3,2.0,Ya,522.0,Lancar
K-0093,2025-02-02,Surabaya,Retail,15.4,17.0,7.0,6.1,3.0,Ya,431.0,Lancar
K-0094,2025-10-15,Jakarta,Retail,43.0,109.0,7.0,31.3,1.0,Ya,566.0,Lancar
K-0095,2025-05-06,Bandung,Fashion,20.3,81.0,5.0,7.5,2.0,Ya,648.0,Lancar
K-0096,2026-02-27,Yogyakarta,Kuliner,54.5,106.0,2.0,27.5,4.0,Tidak,418.0,Lancar
K-0097,2024-07-29,Surabaya,Retail,37.1,81.0,3.0,13.7,4.0,Tidak,363.0,Macet
K-0098,2025-11-05,Jakarta,Kerajinan,28.7,171.0,3.0,8.2,3.0,Ya,492.0,Lancar
K-0099,2024-08-02,Jakarta,Retail,18.9,168.0,2.0,8.7,3.0,Tidak,533.0,Lancar
K-0100,2026-03-04,Jakarta,Pertanian,28.7,90.0,3.0,20.3,1.0,Ya,421.0,Lancar
K-0101,2025-10-06,Jakarta,Fashion,28.4,23.0,5.0,29.4,3.0,Ya,485.0,Macet
K-0102,2026-01-30,Yogyakarta,Kuliner,17.6,156.0,1.0,17.7,0.0,Tidak,565.0,Macet
K-0103,2025-07-05,Medan,Pertanian,28.9,164.0,6.0,23.3,0.0,Ya,627.0,Lancar
K-0104,2024-11-07,Jakarta,Kuliner,47.4,120.0,1.0,22.4,5.0,Tidak,369.0,Macet
K-0105,2026-02-14,Bandung,Jasa,51.9,52.0,6.0,21.3,3.0,Tidak,398.0,Lancar
K-0106,2024-11-12,Surabaya,Fashion,57.8,179.0,2.0,23.2,4.0,Ya,412.0,Lancar
K-0107,2025-02-10,Yogyakarta,Retail,35.3,95.0,4.0,9.5,2.0,Ya,587.0,Lancar
K-0108,2025-12-29,Jakarta,Jasa,23.2,13.0,7.0,14.6,1.0,Ya,617.0,Lancar
K-0109,2025-04-21,Jakarta,Pertanian,26.2,102.0,6.0,16.6,4.0,Tidak,454.0,Lancar
K-0110,2024-08-11,Surabaya,Retail,48.7,23.0,5.0,18.2,2.0,Tidak,571.0,Lancar
K-0111,2025-07-11,Yogyakarta,Kerajinan,16.5,163.0,3.0,4.4,4.0,Tidak,451.0,Lancar
K-0112,2024-09-01,Bandung,Pertanian,19.7,39.0,7.0,12.2,3.0,Tidak,442.0,Macet
K-0113,2025-09-22,Jakarta,Fashion,31.0,56.0,8.0,11.7,2.0,Tidak,468.0,Macet
K-0114,2025-09-15,Jakarta,Kuliner,43.3,95.0,7.0,34.4,3.0,Ya,583.0,Lancar
K-0115,2025-02-20,Jakarta,Jasa,29.8,80.0,6.0,16.4,0.0,Ya,621.0,Lancar
K-0116,2024-10-21,Jakarta,Kuliner,13.8,135.0,4.0,12.3,1.0,Tidak,636.0,Macet
K-0117,2025-06-27,Jakarta,Kerajinan,26.0,37.0,5.0,13.2,1.0,Tidak,529.0,Lancar
K-0118,2025-01-29,Bandung,Retail,28.7,74.0,5.0,8.9,4.0,Ya,383.0,Lancar
K-0119,2024-10-12,Jakarta,Pertanian,9.8,146.0,2.0,8.1,0.0,Ya,517.0,Lancar
K-0120,2026-04-20,Jakarta,Jasa,23.5,82.0,4.0,21.6,4.0,Tidak,365.0,Macet
K-0121,2025-10-18,Surabaya,Kerajinan,10.4,51.0,5.0,8.5,3.0,Ya,573.0,Macet
K-0122,2025-03-21,Medan,Jasa,22.4,25.0,5.0,13.7,1.0,Tidak,548.0,Lancar
K-0123,2025-06-23,Medan,Retail,47.6,160.0,4.0,47.9,1.0,Ya,641.0,Lancar
K-0124,2025-07-09,Yogyakarta,Retail,41.8,62.0,7.0,19.5,1.0,Tidak,476.0,Lancar
K-0125,2024-11-16,Jakarta,Kuliner,58.2,177.0,2.0,14.8,3.0,Ya,559.0,Lancar
K-0126,2024-10-15,Jakarta,Jasa,48.9,17.0,1.0,24.5,0.0,Ya,665.0,Lancar
K-0127,2025-07-18,Medan,Kerajinan,56.0,148.0,5.0,15.0,4.0,Ya,466.0,Lancar
K-0128,2024-11-14,Surabaya,Kerajinan,47.8,10.0,7.0,14.4,3.0,Tidak,427.0,Lancar
K-0129,2025-06-21,Surabaya,Retail,28.7,178.0,1.0,16.3,2.0,Tidak,500.0,Lancar
K-0130,2025-03-09,Surabaya,Jasa,20.6,15.0,7.0,5.3,2.0,Ya,435.0,Lancar
K-0131,2024-11-02,Medan,Fashion,7.0,38.0,5.0,4.0,3.0,Tidak,545.0,Macet
K-0132,2026-01-09,Jakarta,Retail,55.5,27.0,7.0,41.3,3.0,Tidak,516.0,Macet
K-0133,2025-06-28,Surabaya,Retail,59.5,155.0,3.0,15.1,4.0,Tidak,368.0,Lancar
K-0134,2026-04-27,Medan,Fashion,23.3,92.0,6.0,18.0,3.0,Ya,510.0,Macet
K-0135,2024-10-27,Bandung,Kuliner,53.6,13.0,5.0,19.2,1.0,Tidak,629.0,Lancar
K-0136,2025-06-17,Makassar,Kerajinan,34.7,161.0,2.0,28.6,2.0,Ya,558.0,Lancar
K-0137,2024-12-04,Surabaya,Retail,61.4,136.0,6.0,52.8,4.0,Tidak,442.0,Macet
K-0138,2025-11-18,Bandung,Kerajinan,24.0,40.0,3.0,11.0,2.0,Ya,518.0,Lancar
K-0139,2025-10-25,Jakarta,Jasa,19.7,56.0,1.0,5.7,0.0,Ya,688.0,Lancar
K-0140,2025-06-01,Jakarta,Fashion,32.3,173.0,4.0,22.0,2.0,Tidak,562.0,Lancar
K-0141,2025-10-06,Bandung,Retail,29.9,84.0,5.0,21.9,1.0,Tidak,583.0,Macet
K-0142,2026-04-15,Surabaya,Fashion,12.1,84.0,7.0,5.7,0.0,Ya,651.0,Lancar
K-0143,2025-02-20,Jakarta,Jasa,13.9,159.0,2.0,13.6,0.0,Ya,598.0,Lancar
K-0144,2026-04-13,Jakarta,Fashion,29.1,52.0,3.0,26.6,0.0,Ya,595.0,Lancar
K-0145,2025-02-11,Makassar,Fashion,34.8,152.0,5.0,35.7,3.0,Ya,426.0,Lancar
K-0146,2025-02-06,Jakarta,Kerajinan,9.9,80.0,1.0,5.9,4.0,Ya,490.0,Lancar
K-0147,2026-02-15,Yogyakarta,Kerajinan,53.2,172.0,8.0,47.7,2.0,Ya,562.0,Macet
K-0148,2024-11-24,Bandung,Pertanian,49.9,94.0,8.0,29.0,3.0,Ya,499.0,Lancar
K-0149,2025-03-05,Jakarta,Kuliner,59.6,34.0,6.0,56.9,2.0,Tidak,517.0,Macet
K-0150,2025-12-28,Makassar,Pertanian,40.2,119.0,2.0,24.1,4.0,Ya,394.0,Macet
K-0151,2026-04-02,Yogyakarta,Kuliner,39.1,58.0,8.0,38.5,3.0,Tidak,470.0,Macet
K-0152,2025-06-25,Jakarta,Retail,12.9,165.0,4.0,4.8,1.0,Ya,690.0,Lancar
K-0153,2026-05-14,Jakarta,Pertanian,25.0,95.0,4.0,19.4,0.0,Tidak,568.0,Lancar
K-0154,2024-10-12,Surabaya,Retail,14.6,7.0,5.0,9.0,1.0,Ya,598.0,Lancar
K-0155,2025-09-03,Jakarta,Kuliner,20.7,159.0,2.0,14.4,1.0,Ya,602.0,Lancar
K-0156,2024-12-19,Surabaya,Retail,35.2,162.0,7.0,9.8,1.0,Tidak,467.0,Lancar
K-0157,2026-02-03,Makassar,Kerajinan,102.4,111.0,6.0,70.0,0.0,Tidak,629.0,Lancar
K-0158,2024-11-27,Bandung,Kerajinan,17.7,14.0,4.0,13.3,2.0,Ya,455.0,Macet
K-0159,2024-12-26,Surabaya,Fashion,12.7,173.0,7.0,11.7,2.0,Tidak,533.0,Lancar
K-0160,2025-02-15,Makassar,Jasa,20.5,39.0,5.0,13.1,0.0,Ya,638.0,Lancar
K-0161,2025-07-15,Surabaya,Retail,20.9,86.0,1.0,6.2,4.0,Ya,435.0,Lancar
K-0162,2025-10-05,Jakarta,Kerajinan,15.3,179.0,4.0,7.6,4.0,Tidak,433.0,Lancar
K-0163,2025-03-19,Yogyakarta,Retail,35.2,92.0,3.0,10.3,2.0,Tidak,523.0,Lancar
K-0164,2024-12-01,Surabaya,Fashion,48.1,62.0,6.0,17.4,2.0,Ya,537.0,Lancar
K-0165,2025-09-10,Medan,Jasa,19.8,33.0,2.0,9.0,1.0,Ya,563.0,Lancar
K-0166,2025-07-22,Jakarta,Kerajinan,25.6,168.0,8.0,14.2,2.0,Ya,636.0,Lancar
K-0167,2025-08-13,Surabaya,Kerajinan,31.0,47.0,6.0,10.9,3.0,Ya,525.0,Lancar
K-0168,2026-03-03,Bandung,Kerajinan,19.0,104.0,2.0,18.3,3.0,Tidak,505.0,Macet
K-0169,2025-02-13,Medan,Fashion,33.2,55.0,8.0,26.8,4.0,Ya,462.0,Lancar
K-0170,2025-05-17,Surabaya,Fashion,29.7,21.0,3.0,30.3,4.0,Ya,495.0,Macet
K-0171,2025-07-12,Surabaya,Retail,17.1,36.0,7.0,14.5,2.0,Tidak,509.0,Lancar
K-0172,2025-09-25,Bandung,Pertanian,21.3,151.0,4.0,15.4,1.0,Tidak,612.0,Lancar
K-0173,2026-04-03,Surabaya,Pertanian,21.4,114.0,7.0,13.8,4.0,Ya,498.0,Lancar
K-0174,2025-10-02,Yogyakarta,Jasa,25.2,64.0,2.0,19.6,3.0,Ya,491.0,Lancar
K-0175,2025-04-01,Jakarta,Retail,45.9,69.0,6.0,16.1,1.0,Ya,618.0,Lancar
K-0176,2025-02-12,Jakarta,Pertanian,24.4,102.0,8.0,8.2,2.0,Ya,566.0,Lancar
K-0177,2025-12-19,Jakarta,Retail,115.1,113.0,1.0,51.9,0.0,Tidak,670.0,Lancar
K-0178,2025-04-02,Medan,Jasa,41.5,150.0,6.0,20.7,5.0,Tidak,316.0,Macet
K-0179,2025-12-01,Makassar,Retail,30.2,55.0,7.0,16.5,1.0,Ya,534.0,Lancar
K-0180,2026-04-13,Jakarta,Retail,17.9,41.0,6.0,10.7,0.0,Ya,656.0,Lancar
K-0181,2026-01-01,Medan,Retail,27.4,50.0,4.0,21.7,3.0,Ya,473.0,Macet
K-0182,2024-12-26,Jakarta,Retail,36.2,43.0,5.0,37.6,0.0,Ya,632.0,Lancar
K-0183,2024-08-22,Makassar,Jasa,15.2,49.0,5.0,10.4,0.0,Ya,675.0,Lancar
K-0184,2026-03-16,Bandung,Fashion,29.8,108.0,4.0,25.7,2.0,Tidak,560.0,Macet
K-0185,2025-11-07,Surabaya,Jasa,25.1,93.0,2.0,21.5,1.0,Ya,443.0,Lancar
K-0186,2025-02-13,Yogyakarta,Jasa,35.5,57.0,5.0,26.5,3.0,Ya,530.0,Lancar
K-0187,2025-03-13,Bandung,Kuliner,51.9,86.0,2.0,48.1,5.0,Ya,377.0,Macet
K-0188,2025-04-04,Surabaya,Retail,38.0,96.0,5.0,15.2,0.0,Ya,714.0,Lancar
K-0189,2024-06-24,Bandung,Kerajinan,31.1,57.0,7.0,23.5,4.0,Tidak,366.0,Lancar
K-0190,2024-07-25,Medan,Retail,77.5,92.0,7.0,69.1,2.0,Ya,475.0,Macet
K-0191,2025-11-19,Bandung,Fashion,23.1,135.0,1.0,15.7,3.0,Ya,468.0,Lancar
K-0192,2025-03-16,Jakarta,Kuliner,21.6,93.0,4.0,16.3,2.0,Tidak,551.0,Lancar
K-0193,2024-09-24,Jakarta,Pertanian,15.7,90.0,3.0,9.0,3.0,Ya,509.0,Lancar
K-0194,2026-05-30,Bandung,Kerajinan,26.1,9.0,4.0,8.4,1.0,Ya,552.0,Lancar
K-0195,2026-04-16,Medan,Retail,34.0,164.0,2.0,24.2,3.0,Ya,493.0,Macet
K-0196,2024-08-25,Medan,Retail,35.1,9.0,6.0,16.1,2.0,Tidak,516.0,Macet
K-0197,2026-04-20,Medan,Kuliner,31.5,68.0,8.0,20.1,0.0,Ya,583.0,Lancar
K-0198,2024-10-05,Bandung,Fashion,15.0,20.0,3.0,8.9,0.0,Ya,585.0,Lancar
K-0199,2024-09-20,Jakarta,Fashion,23.1,111.0,6.0,23.0,4.0,Ya,422.0,Macet
K-0200,2025-11-27,Yogyakarta,Retail,29.1,146.0,1.0,30.2,3.0,Ya,554.0,Macet
K-0201,2026-06-07,Jakarta,Jasa,44.7,165.0,8.0,14.8,3.0,Ya,495.0,Lancar
K-0202,2024-08-06,Bandung,Jasa,35.0,29.0,6.0,27.2,1.0,Ya,593.0,Lancar
K-0203,2026-06-06,Jakarta,Jasa,58.1,132.0,2.0,18.5,0.0,Tidak,508.0,Lancar
K-0204,2025-04-28,Medan,Pertanian,23.8,12.0,8.0,15.3,2.0,Ya,588.0,Lancar
K-0205,2024-09-20,Bandung,Pertanian,17.1,120.0,1.0,13.3,3.0,Ya,545.0,Lancar
K-0206,2026-04-12,Bandung,Pertanian,17.2,96.0,4.0,9.6,3.0,Tidak,522.0,Lancar
K-0207,2024-11-16,Jakarta,Kuliner,14.9,109.0,6.0,6.5,3.0,Tidak,538.0,Lancar
K-0208,2026-05-23,Jakarta,Fashion,16.7,175.0,6.0,9.2,4.0,Ya,501.0,Lancar
K-0209,2025-08-22,Surabaya,Jasa,50.4,128.0,1.0,22.0,2.0,Tidak,547.0,Lancar
K-0210,2025-12-03,Medan,Retail,45.8,81.0,6.0,26.0,0.0,Tidak,528.0,Lancar
K-0211,2025-04-26,Jakarta,Fashion,13.1,87.0,1.0,4.9,2.0,Ya,563.0,Lancar
K-0212,2025-09-06,Bandung,Pertanian,9.1,81.0,6.0,6.3,4.0,Ya,514.0,Lancar
K-0213,2024-12-31,Medan,Pertanian,37.3,174.0,2.0,29.9,2.0,Ya,524.0,Lancar
K-0214,2026-06-06,Yogyakarta,Fashion,36.2,39.0,8.0,23.9,3.0,Ya,431.0,Lancar
K-0215,2025-10-06,Bandung,Fashion,41.6,148.0,5.0,19.2,3.0,Ya,456.0,Lancar
K-0216,2025-09-19,Bandung,Kerajinan,12.8,77.0,1.0,3.3,4.0,Tidak,454.0,Lancar
K-0217,2026-01-16,Surabaya,Retail,36.9,17.0,2.0,16.2,2.0,Ya,592.0,Lancar
K-0218,2025-01-21,Bandung,Jasa,22.0,24.0,1.0,14.7,3.0,Ya,494.0,Macet
K-0219,2025-02-18,Jakarta,Jasa,14.5,15.0,6.0,11.7,4.0,Ya,410.0,Lancar
K-0220,2025-04-18,Yogyakarta,Pertanian,34.0,142.0,6.0,31.1,4.0,Ya,436.0,Lancar
K-0221,2025-08-16,Medan,Pertanian,28.0,129.0,2.0,29.3,3.0,Ya,436.0,Macet
K-0222,2024-11-04,Bandung,Fashion,31.9,106.0,5.0,14.1,2.0,Ya,590.0,Lancar
K-0223,2025-06-02,Yogyakarta,Fashion,42.1,118.0,5.0,22.6,3.0,Ya,575.0,Lancar
K-0224,2025-04-10,Surabaya,Fashion,18.1,40.0,2.0,11.8,3.0,Ya,525.0,Lancar
K-0225,2026-03-31,Surabaya,Jasa,24.6,101.0,2.0,13.3,2.0,Tidak,486.0,Lancar
K-0226,2025-01-01,Medan,Retail,32.7,60.0,7.0,28.5,2.0,Ya,678.0,Lancar
K-0227,2025-07-27,Surabaya,Retail,30.0,135.0,8.0,12.5,4.0,Tidak,384.0,Macet
K-0228,2025-07-29,Surabaya,Fashion,29.2,105.0,8.0,19.1,2.0,Tidak,516.0,Macet
K-0229,2026-06-08,Jakarta,Pertanian,28.1,83.0,5.0,14.8,1.0,Tidak,541.0,Macet
K-0230,2025-07-08,Jakarta,Kuliner,18.1,85.0,5.0,11.2,0.0,Ya,690.0,Lancar
K-0231,2025-09-16,Jakarta,Jasa,7.0,135.0,2.0,6.3,4.0,Ya,553.0,Macet
K-0232,2026-02-09,Surabaya,Pertanian,19.4,99.0,4.0,14.8,3.0,Tidak,386.0,Macet
K-0233,2026-03-24,Yogyakarta,Jasa,28.2,131.0,2.0,20.6,2.0,Ya,432.0,Lancar
K-0234,2024-07-22,Surabaya,Pertanian,32.1,7.0,2.0,26.5,4.0,Tidak,399.0,Macet
K-0235,2024-11-18,Surabaya,Retail,22.0,93.0,4.0,8.5,3.0,Ya,519.0,Lancar
K-0236,2024-08-03,Makassar,Retail,99.8,74.0,5.0,55.5,2.0,Tidak,548.0,Lancar
K-0237,2025-08-31,Medan,Pertanian,16.6,165.0,3.0,13.0,4.0,Ya,491.0,Lancar
K-0238,2025-05-01,Yogyakarta,Fashion,15.7,97.0,6.0,10.6,1.0,Ya,653.0,Lancar
K-0239,2024-12-09,Bandung,Kerajinan,14.3,152.0,5.0,8.8,1.0,Ya,627.0,Lancar
K-0240,2024-11-07,Jakarta,Kerajinan,29.7,57.0,2.0,26.4,5.0,Tidak,427.0,Macet
K-0241,2026-05-18,Yogyakarta,Fashion,40.7,37.0,4.0,24.4,4.0,Tidak,517.0,Lancar
K-0242,2026-03-23,Jakarta,Retail,16.9,55.0,3.0,8.5,0.0,Tidak,603.0,Lancar
K-0243,2026-04-14,Bandung,Kerajinan,27.1,84.0,7.0,20.1,5.0,Tidak,353.0,Macet
K-0244,2025-05-06,Makassar,Fashion,33.8,120.0,5.0,22.2,0.0,Tidak,586.0,Lancar
K-0245,2025-06-17,Jakarta,Kerajinan,34.6,152.0,7.0,24.8,0.0,Ya,681.0,Lancar
