judul,tahun,genre,rating,jumlah_penonton_juta
Petualangan di Laut Selatan,2020,Drama,5.5,5.2
Api di Pasar Subuh,2021,Laga,5.1,6.3
Suara di Stasiun Tua,2021,Animasi,6.9,8.5
Rahasia di Bali,2021,Horor,5.1,1.7
Petualangan di Stasiun Tua,2021,Petualangan,9.8,7.1
Cahaya di Menara Air,2021,Komedi,6.2,9.8
Api di Pulau Terpencil,2021,Petualangan,5.0,8.8
Misteri di Bawah Tanah,2021,Petualangan,7.1,8.3
Suara di Bawah Tanah,2021,Komedi,7.7,8.4
Menara di Jakarta,2021,Petualangan,9.6,2.7
Peta di Laut Selatan,2021,Petualangan,5.7,4.8
Kisah di Pulau Terpencil,2021,Komedi,9.3,5.3
Menara di Hari Kemerdekaan,2021,Horor,5.8,8.7
Api di Ujung Tahun,2021,Komedi,6.4,10.5
Badai di Bali,2021,Animasi,9.3,11.1
Rahasia Sang Juara,2021,Drama,9.2,1.9
Legenda di Pasar Subuh,2021,Horor,6.6,9.6
Api Sang Juara,2022,Laga,7.0,5.0
Misteri di Laut Selatan,2022,Laga,8.0,6.9
Kisah di Stasiun Tua,2022,Petualangan,9.5,6.0
Petualangan dari Kampung Halaman,2022,Animasi,9.0,2.4
Bintang di Laut Selatan,2022,Misteri,5.2,10.9
Fajar di Danau Toba,2022,Animasi,8.7,7.1
Hujan di Bali,2022,Drama,7.0,5.1
Bayangan di Kota Tua,2022,Horor,8.6,3.8
Rahasia Pertama,2022,Laga,8.5,0.7
Badai Pertama,2022,Laga,5.1,6.2
Hujan di Pasar Subuh,2022,Horor,9.6,10.0
Fajar dari Kampung Halaman,2022,Laga,6.8,3.4
Ombak di Ujung Tahun,2023,Petualangan,8.8,8.5
Misteri di Jakarta,2023,Horor,5.5,10.1
Legenda di Gunung Merapi,2023,Laga,8.9,11.5
Suara Sang Juara,2023,Drama,6.3,4.0
Bayangan di Danau Toba,2023,Laga,7.4,4.2
Misteri Pertama,2023,Horor,6.6,3.1
Kisah di Ujung Tahun,2023,Petualangan,5.8,5.2
Jejak Sang Juara,2023,Petualangan,6.3,3.1
Perjalanan di Gunung Merapi,2023,Petualangan,9.7,5.6
Jejak di Laut Selatan,2023,Laga,7.6,9.1
Bintang di Ujung Tahun,2023,Laga,8.4,0.4
Bayangan di Hari Kemerdekaan,2023,Drama,9.7,2.7
Jejak di Stasiun Tua,2024,Animasi,6.1,3.3
Cahaya Pertama,2024,Horor,6.5,8.1
Petualangan Sang Juara,2024,Animasi,9.3,6.6
Bayangan di Ujung Tahun,2024,Animasi,7.7,3.1
Badai di Menara Air,2024,Komedi,8.9,3.6
Menara di Bawah Tanah,2024,Petualangan,9.6,10.5
Cahaya di Stasiun Tua,2024,Animasi,5.6,5.2
Senja di Pasar Subuh,2024,Komedi,5.6,9.9
Badai di Stasiun Tua,2024,Horor,8.0,7.7
Misteri di Kota Tua,2024,Drama,8.5,1.8
Legenda di Kota Tua,2024,Horor,9.7,8.9
Fajar Terakhir,2024,Misteri,6.2,11.9
Bintang di Menara Air,2024,Komedi,8.7,2.3
Hujan di Bawah Tanah,2024,Misteri,7.0,9.2
Peta di Jakarta,2024,Animasi,6.0,11.6
Ombak di Laut Selatan,2024,Misteri,9.5,8.5
Fajar di Stasiun Tua,2024,Laga,8.5,7.5
Api di Gunung Merapi,2024,Horor,6.7,9.0
Suara di Laut Selatan,2024,Misteri,6.7,7.3
Ombak di Bawah Tanah,2024,Horor,8.3,7.3
Rahasia di Stasiun Tua,2025,Laga,8.3,5.8
Badai Tanpa Nama,2025,Misteri,9.7,1.3
Bayangan dari Kampung Halaman,2025,Misteri,7.6,4.6
Peta di Menara Air,2025,Misteri,6.8,11.5
Jejak di Jakarta,2025,Laga,7.1,6.7
Misteri Tanpa Nama,2025,Animasi,8.5,7.0
Badai Sang Juara,2025,Laga,8.2,2.5
Bintang di Bawah Tanah,2025,Drama,6.9,2.4
Cahaya di Bawah Tanah,2025,Horor,9.5,11.9
Rahasia di Danau Toba,2025,Misteri,9.7,5.0
Api dari Kampung Halaman,2025,Laga,8.7,7.1
Menara di Laut Selatan,2026,Animasi,9.2,3.3
Suara di Danau Toba,2026,Animasi,5.5,6.3
Suara di Ujung Tahun,2026,Laga,6.6,9.2
Kisah di Kota Tua,2026,Misteri,9.3,4.8
Pulang di Stasiun Tua,2026,Horor,9.7,8.5
Bintang Sang Juara,2026,Drama,9.5,1.6
Suara dari Kampung Halaman,2026,Komedi,6.7,7.5
Senja di Hari Kemerdekaan,2026,Drama,6.2,0.8
Peta di Kota Tua,2026,Petualangan,8.3,7.2
Kisah di Laut Selatan,2026,Laga,5.2,7.0
