id_pengajuan,tanggal_pengajuan,kota,sektor,omzet_bulanan_juta,lama_usaha_bulan,jumlah_karyawan,pinjaman_diajukan_juta,riwayat_telat_12m,punya_npwp,skor_kredit,status
K-0029,27/06/2024,Jakarta,Fashion,11.6,28.0,3.0,3.9,2.0,Ya,552.0,Lancar
K-0030,2025-08-07,Surabaya,,14.5,86.0,8.0,12.7,3.0,N,555.0,Lancar
K-0031,"Nov 18, 2025", Jakarta ,Pertanian,,148.0,3.0,4.6,3.0,Ya,547.0,Lancar
K-0032,2024-12-03,MDN,kerajinan ,43.6,44.0,3.0,30.0,,Tidak,567.0,Lancar
K-0033,2025-08-20,Bandung,Retail,46.6,109.0,5.0,40.2,3.0,N,551.0,Macet
K-0034,2025-06-23,JKT,pertanian,43.5,21.0,4.0,36.1,2.0,Ya,592.0,Lancar
K-0035,2026-04-11,Surabaya,Jasa,21.6,99.0,1.0,8.8,4.0,Tidak,455.0,Macet
K-0036,30/12/2025,Makassar,fashion ,16.0,40.0,2.0,16.7,4.0,Ya,368.0,Lancar
K-0037,15/11/2025,surabaya,JASA,24.8,107.0,4.0,12.8,4.0,Ya,492.0,Lancar
K-0038,2025-04-24,surabaya,Kerajinan,30.0,9.0,1.0,9.6,0.0,Ya,626.0,Lancar
K-0039,2025-05-24,Medan,kuliner,12.0,167.0,4.0,3.7,2.0,Tidak,505.0,Lancar
K-0040,2025-03-02,Yogyakarta,Jasa,49.8,102.0,3.0,39.0,1.0,Ya,569.0,Macet
K-0041,2025-08-12,Surabaya,fashion ,30.2,175.0,5.0,13.7,0.0,Tidak,684.0,Lancar
K-0042,2024-12-06,Jogja,kerajinan,51.0,136.0,1.0,19.9,3.0,,464.0,Lancar
K-0043,19/05/2025,Jakarta,kerajinan ,29.8,999.0,2.0,22.0,3.0,Ya,549.0,Lancar
K-0044,25/02/2025,Surabaya,kerajinan,43.3,156.0,7.0,18.3,0.0,n,600.0,Lancar
K-0045,2024-06-05,medan ,Jasa,38.1,132.0,3.0,14.4,3.0,1,518.0,Lancar
K-0046,2025-03-08,Yogyakarta,jasa,20.8,79.0,2.0,19.7,0.0,Y,693.0,Lancar
K-0047,23/06/2025,MKS,Retail,,101.0,6.0,17.5,3.0,Ya,480.0,Lancar
K-0048,2025-03-01,Jakarta,retail ,28.4,144.0,4.0,26.6,3.0,Ya,429.0,Lancar
K-0049,29/07/2025,Makassar,kerajinan ,25.7,136.0,4.0,9.8,2.0,1,495.0,Lancar
K-0050,2025-02-11,medan ,Retail,,,5.0,15.1,1.0,Ya,646.0,Lancar
K-0051,05/03/2026,Jakarta,Fashion,14.3,74.0,6.0,5.1,3.0,Ya,446.0,Lancar
K-0052,29/05/2026,,Retail,39.6,113.0,4.0,13.6,2.0,Ya,590.0,Lancar
K-0053,2025-03-06,Jakarta,retail ,13.6,164.0,6.0,10.2,1.0,Ya,602.0,Lancar
K-0054,2025-01-11,Medan,Kuliner,23.6,36.0,2.0,20.7,3.0,1,587.0,Macet
K-0055,"Jun 22, 2025",medan ,pertanian,38.2,50.0,6.0,10.4,1.0,Ya,,Lancar
K-0056,11/05/2026,Makassar,fashion ,20.3,118.0,1.0,20.6,4.0,Y,441.0,Macet
K-0057,2025-10-09,Jakarta,Fashion,28.5,173.0,5.0,23.0,2.0,Ya,558.0,Lancar
K-0058,2026-05-12,Jakarta,kuliner,32.3,78.0,3.0,27.7,1.0,Ya,623.0,Lancar
K-0059,22/09/2025,jakarta,Kerajinan,24.1,12.0,,15.2,0.0,Y,597.0,Lancar
K-0060,2024-07-09,Jakarta,kuliner,50.5,92.0,4.0,49.6,2.0,Tidak,512.0,Macet
K-0061,2024-08-07,Medan,Kuliner,32.9,38.0,7.0,21.5,3.0,Tidak,550.0,Macet
K-0062,30/10/2025,Surabaya,Fashion,48.3,115.0,7.0,45.9,1.0,Tidak,738.0,Lancar
K-0063,2025-01-04,makassar,retail ,34.7,15.0,6.0,24.8,1.0,Ya,523.0,Lancar
K-0064,"Aug 18, 2025",yogyakarta,Kuliner,14.5,137.0,2.0,14.9,0.0,Tidak,534.0,Lancar
K-0065,2025-01-11,SBY,KULINER,31.5,93.0,5.0,19.5,4.0,T,422.0,Macet
K-0066,2024-09-10,Surabaya,Kerajinan,16.9,126.0,6.0,9.6,2.0,Tidak,496.0,Lancar
K-0067,2025-10-28,Jakarta,Retail,28.4,101.0,3.0,25.4,0.0,n,633.0,Lancar
K-0068,2024-08-14,,Retail,37.5,22.0,2.0,34.9,3.0,n,485.0,Macet
K-0069,2024-12-13,bandung,Kuliner,36.1,65.0,7.0,26.8,1.0,Tidak,602.0,Lancar
K-0070,2025-08-09,,Retail,56.1,,1.0,42.4,1.0,,544.0,Lancar
K-0071,2025-10-17, Jakarta ,Pertanian,38.0,150.0,8.0,26.9,4.0,Ya,362.0,Macet
K-0071,2025-10-17, Jakarta ,Pertanian,38.0,150.0,8.0,26.9,4.0,Ya,362.0,Macet
K-0072,27/06/2024,Surabaya,Kerajinan,22.3,105.0,7.0,18.6,0.0,Ya,670.0,Lancar
K-0073,2024-10-28,BDG ,Kerajinan,49.6,98.0,7.0,29.3,2.0,Ya,514.0,Lancar
K-0074,"Mar 03, 2025",Medan,JASA,16.3,10.0,,7.0,4.0,Ya,389.0,Macet
K-0075,2025-11-15,Bandung,Pertanian,56.3,136.0,8.0,53.0,4.0,Y,571.0,Lancar
K-0076,"Feb 09, 2026",bandung,kerajinan,27.7,37.0,8.0,7.6,4.0,,443.0,Lancar
K-0077,2025-12-28,Surabaya,kuliner,10.2,110.0,6.0,3.2,3.0,ya,487.0,Lancar
K-0078,2025-06-19, Jakarta ,,,87.0,7.0,9.6,1.0,Ya,631.0,Lancar
K-0079,10/10/2025,,Kerajinan,,47.0,2.0,26.2,2.0,Y,536.0,Lancar
K-0080,"Oct 25, 2025",SBY,PERTANIAN,24.1,,8.0,21.0,1.0,Tidak,607.0,Macet
K-0081,2026-02-07,JKT,PERTANIAN,14.4,56.0,4.0,14.4,3.0,Tidak,556.0,Macet
K-0082,"May 05, 2026",Surabaya,kerajinan ,16.6,163.0,5.0,7.4,2.0,Ya,,Lancar
K-0083,21/07/2025,Yogyakarta,Kerajinan,38.3,160.0,1.0,30.0,3.0,Ya,552.0,Lancar
K-0084,2026-03-25,JKT,Kerajinan,,14.0,1.0,29.6,4.0,Ya,468.0,Macet
K-0085,2026-02-22,YOG ,kerajinan ,34.8,15.0,8.0,21.4,0.0,Tidak,673.0,Lancar
K-0086,2024-07-14,MDN,fashion ,40.7,11.0,7.0,10.9,4.0,Ya,457.0,Lancar
K-0087,08/06/2025,makassar,Kuliner,41.5,177.0,6.0,40.0,1.0,Y,662.0,Lancar
K-0088,2025-05-18,Makassar,Kerajinan,31.5,83.0,2.0,19.5,0.0,Tidak,564.0,Lancar
K-0089,12/01/2025,Bandung,KULINER,19.9,102.0,6.0,14.8,99.0,Tidak,,Macet
K-0090,2025-10-17,Makassar,Fashion,74.9,62.0,5.0,57.7,2.0,1,544.0,Lancar
K-0091,2025-08-31,Bandung,JASA,39.7,133.0,,23.2,4.0,Ya,,Lancar
K-0092,2024-08-10,Jakarta,retail ,36.7,,,36.3,2.0,1,522.0,Lancar
K-0093,02/02/2025,Surabaya,Retail,15.4,17.0,7.0,6.1,3.0,Ya,431.0,Lancar
K-0094,2025-10-15,jakarta,Retail,43.0,109.0,7.0,31.3,1.0,1,566.0,Lancar
K-0095,"May 06, 2025",Bandung,fashion,20.3,,5.0,7.5,2.0,Ya,648.0,Lancar
K-0096,27/02/2026,Jogja,Kuliner,54.5,106.0,2.0,27.5,4.0,tidak,418.0,Lancar
K-0097,2024-07-29,Surabaya,Retail,,81.0,3.0,13.7,4.0,T,,Macet
K-0098,05/11/2025,JKT,Kerajinan,28.7,171.0,3.0,8.2,3.0,Ya,492.0,Lancar
K-0099,2024-08-02,Jakarta,Retail,18.9,168.0,2.0,8.7,3.0,tidak,533.0,Lancar
K-0100,2026-03-04,JKT,Pertanian,28.7,90.0,3.0,20.3,1.0,Ya,421.0,Lancar
K-0101,2025-10-06,JKT,Fashion,,23.0,5.0,29.4,3.0,1,485.0,Macet
K-0102,30/01/2026,yogyakarta,Kuliner,17.6,156.0,1.0,17.7,0.0,Tidak,565.0,Macet
K-0103,2025-07-05,MDN,Pertanian,28.9,164.0,6.0,23.3,0.0,Ya,627.0,Lancar
K-0104,2024-11-07,,Kuliner,47.4,120.0,1.0,22.4,5.0,,369.0,Macet
K-0105,2026-02-14,Bandung,jasa,51.9,,6.0,21.3,3.0,Tidak,398.0,Lancar
K-0106,2024-11-12,SBY,fashion ,57.8,179.0,2.0,23.2,4.0,Ya,412.0,Lancar
K-0107,"Feb 10, 2025",,Retail,35.3,,4.0,9.5,2.0,ya,,Lancar
K-0108,29/12/2025,Jakarta,Jasa,23.2,13.0,7.0,14.6,1.0,1,617.0,Lancar
K-0109,2025-04-21,,pertanian,26.2,102.0,6.0,16.6,4.0,Tidak,454.0,Lancar
K-0110,"Aug 11, 2024",Surabaya,Retail,48.7,23.0,5.0,18.2,2.0,Tidak,571.0,Lancar
K-0111,2025-07-11,Yogyakarta,kerajinan,16.5,163.0,3.0,4.4,4.0,Tidak,451.0,Lancar
K-0111,2025-07-11,Yogyakarta,kerajinan,16.5,163.0,3.0,4.4,4.0,Tidak,451.0,Lancar
K-0112,2024-09-01,Bandung,PERTANIAN,19.7,39.0,7.0,12.2,3.0,Tidak,442.0,Macet
K-0113,2025-09-22,jkt,,31.0,56.0,,11.7,2.0,N,468.0,Macet
K-0114,2025-09-15,Jakarta,Kuliner,43.3,95.0,7.0,34.4,3.0,1,583.0,Lancar
K-0115,2025-02-20,jakarta,JASA,29.8,80.0,6.0,16.4,0.0,,621.0,Lancar
K-0116,2024-10-21,Jakarta,Kuliner,13.8,135.0,4.0,12.3,1.0,,636.0,Macet
K-0117,"Jun 27, 2025",Jakarta,kerajinan ,26.0,37.0,5.0,13.2,1.0,Tidak,529.0,Lancar
K-0118,"Jan 29, 2025",BDG ,Retail,,74.0,5.0,8.9,4.0,Ya,383.0,Lancar
K-0119,2024-10-12,jakarta,PERTANIAN,9.8,146.0,2.0,8.1,0.0,Ya,517.0,Lancar
K-0120,20/04/2026,Jakarta,Jasa,23.5,82.0,4.0,21.6,4.0,Tidak,365.0,Macet
K-0121,18/10/2025,SBY,Kerajinan,10.4,51.0,5.0,8.5,3.0,Ya,573.0,Macet
K-0122,2025-03-21,Medan,jasa,22.4,,5.0,13.7,1.0,n,548.0,Lancar
K-0123,2025-06-23,medan ,Retail,47.6,160.0,4.0,47.9,1.0,ya,641.0,Lancar
K-0124,"Jul 09, 2025",YOG ,Retail,41.8,62.0,7.0,19.5,1.0,N,476.0,Lancar
K-0125,2024-11-16,JKT,KULINER,58.2,177.0,2.0,14.8,3.0,,559.0,Lancar
K-0126,2024-10-15,JKT,Jasa,,17.0,1.0,24.5,0.0,Ya,665.0,Lancar
K-0127,2025-07-18,medan ,Kerajinan,56.0,148.0,5.0,15.0,4.0,Ya,,Lancar
K-0128,2024-11-14,Surabaya,Kerajinan,47.8,10.0,7.0,14.4,3.0,N,427.0,Lancar
K-0129,"Jun 21, 2025",Surabaya,retail ,28.7,178.0,1.0,16.3,2.0,Tidak,500.0,Lancar
K-0130,2025-03-09,Surabaya,JASA,,15.0,7.0,5.3,2.0,Y,435.0,Lancar
K-0131,02/11/2024,medan ,fashion,7.0,38.0,5.0,4.0,3.0,Tidak,545.0,Macet
K-0132,2026-01-09,Jakarta,Retail,55.5,27.0,7.0,41.3,3.0,Tidak,516.0,Macet
K-0133,28/06/2025,Surabaya,retail ,59.5,155.0,3.0,15.1,4.0,Tidak,368.0,Lancar
K-0134,2026-04-27,medan ,fashion ,23.3,92.0,6.0,-120.0,3.0,Ya,510.0,Macet
K-0135,27/10/2024,bandung,KULINER,53.6,13.0,5.0,19.2,1.0,Tidak,629.0,Lancar
K-0136,17/06/2025,Makassar,Kerajinan,34.7,161.0,2.0,28.6,2.0,Ya,,Lancar
K-0137,2024-12-04,SBY,Retail,61.4,136.0,6.0,52.8,4.0,Tidak,442.0,Macet
K-0138,18/11/2025,,Kerajinan,24.0,40.0,3.0,11.0,2.0,y,518.0,Lancar
K-0139,"Oct 25, 2025",JKT,Jasa,19.7,56.0,1.0,5.7,0.0,Ya,688.0,Lancar
K-0140,2025-06-01,Jakarta,Fashion,32.3,173.0,4.0,22.0,2.0,N,562.0,Lancar
K-0141,2025-10-06,Bandung,Retail,,84.0,5.0,21.9,1.0,Tidak,,Macet
K-0142,2026-04-15,SBY,Fashion,12.1,84.0,7.0,5.7,0.0,Ya,651.0,Lancar
K-0142,2026-04-15,SBY,Fashion,12.1,84.0,7.0,5.7,0.0,Ya,651.0,Lancar
K-0143,20/02/2025,Jakarta,Jasa,13.9,159.0,2.0,13.6,,Ya,598.0,Lancar
K-0144,"Apr 13, 2026",Jakarta,Fashion,29.1,52.0,3.0,26.6,0.0,Ya,595.0,Lancar
K-0145,11/02/2025,Makassar,fashion,34.8,152.0,5.0,35.7,3.0,Ya,426.0,Lancar
K-0146,2025-02-06,Jakarta,Kerajinan,9.9,80.0,1.0,5.9,4.0,Ya,490.0,Lancar
K-0147,2026-02-15,YOG ,Kerajinan,53.2,172.0,8.0,47.7,2.0,Y,562.0,Macet
K-0148,"Nov 24, 2024",Bandung,PERTANIAN,49.9,94.0,8.0,29.0,3.0,y,499.0,Lancar
K-0149,2025-03-05,jkt,Kuliner,59.6,,6.0,56.9,2.0,Tidak,517.0,Macet
K-0150,2025-12-28,MKS,Pertanian,,119.0,2.0,24.1,4.0,Ya,394.0,Macet
K-0151,02/04/2026,Jogja,KULINER,,58.0,8.0,38.5,3.0,,470.0,Macet
K-0152,"Jun 25, 2025",jkt,Retail,12.9,165.0,4.0,4.8,1.0,ya,690.0,Lancar
K-0153,2026-05-14,JKT,Pertanian,25.0,95.0,4.0,19.4,0.0,N,568.0,Lancar
K-0154,2024-10-12,,retail ,14.6,7.0,5.0,9.0,1.0,Ya,598.0,Lancar
K-0155,03/09/2025,Jakarta,Kuliner,20.7,159.0,2.0,14.4,1.0,ya,602.0,Lancar
K-0156,19/12/2024,Surabaya,retail ,35.2,162.0,7.0,9.8,1.0,Tidak,467.0,Lancar
K-0157,2026-02-03,Makassar,kerajinan ,102.4,111.0,6.0,70.0,0.0,Tidak,629.0,Lancar
K-0158,27/11/2024,Bandung,Kerajinan,17.7,14.0,4.0,13.3,2.0,Ya,455.0,Macet
K-0159,26/12/2024,Surabaya,fashion,12.7,173.0,7.0,11.7,2.0,Tidak,533.0,Lancar
K-0160,15/02/2025,MKS,JASA,,39.0,5.0,13.1,,Ya,638.0,Lancar
K-0161,2025-07-15,,Retail,20.9,86.0,1.0,6.2,4.0,Y,435.0,Lancar
K-0162,2025-10-05,jkt,kerajinan,15.3,179.0,4.0,7.6,4.0,Tidak,433.0,Lancar
K-0163,"Mar 19, 2025",YOG ,Retail,35.2,92.0,3.0,10.3,2.0,Tidak,523.0,Lancar
K-0164,2024-12-01,Surabaya,Fashion,48.1,62.0,6.0,17.4,2.0,Ya,537.0,Lancar
K-0165,2025-09-10,Medan,jasa,19.8,33.0,,9.0,1.0,Ya,563.0,Lancar
K-0166,2025-07-22,JKT,Kerajinan,,168.0,8.0,14.2,2.0,Y,636.0,Lancar
K-0167,13/08/2025,Surabaya,kerajinan,31.0,47.0,6.0,10.9,,ya,525.0,Lancar
K-0168,"Mar 03, 2026",Bandung,kerajinan,19.0,104.0,2.0,18.3,3.0,n,505.0,Macet
K-0169,13/02/2025,MDN,Fashion,33.2,55.0,,26.8,,Ya,462.0,Lancar
K-0170,"May 17, 2025",Surabaya,,29.7,21.0,,30.3,4.0,Ya,495.0,Macet
K-0171,12/07/2025,,,17.1,36.0,7.0,14.5,2.0,Tidak,509.0,Lancar
K-0172,2025-09-25,BDG ,Pertanian,21.3,,4.0,15.4,1.0,T,612.0,Lancar
K-0173,03/04/2026,Surabaya,Pertanian,21.4,114.0,7.0,13.8,4.0,Ya,498.0,Lancar
K-0174,2025-10-02,YOG ,Jasa,25.2,64.0,2.0,19.6,3.0,ya,491.0,Lancar
K-0175,2025-04-01,Jakarta,retail ,45.9,69.0,6.0,16.1,1.0,Y,618.0,Lancar
K-0176,2025-02-12,Jakarta,pertanian,24.4,102.0,8.0,8.2,2.0,Ya,566.0,Lancar
K-0177,2025-12-19,jkt,Retail,115.1,113.0,1.0,51.9,0.0,tidak,,Lancar
K-0178,2025-04-02,medan ,Jasa,41.5,150.0,6.0,20.7,5.0,Tidak,316.0,Macet
K-0179,"Dec 01, 2025",Makassar,Retail,30.2,55.0,7.0,16.5,1.0,Ya,,Lancar
K-0180,2026-04-13, Jakarta ,Retail,17.9,41.0,6.0,10.7,0.0,Ya,656.0,Lancar
K-0181,01/01/2026,MDN,retail ,27.4,50.0,4.0,21.7,3.0,y,473.0,Macet
K-0182,2024-12-26,Jakarta,Retail,36.2,43.0,5.0,37.6,0.0,Ya,632.0,Lancar
K-0183,2024-08-22,Makassar,JASA,15.2,49.0,5.0,10.4,0.0,Ya,675.0,Lancar
K-0184,2026-03-16,Bandung,Fashion,,108.0,4.0,25.7,2.0,Tidak,560.0,Macet
K-0185,2025-11-07,Surabaya,Jasa,25.1,93.0,2.0,21.5,1.0,Ya,443.0,Lancar
K-0186,2025-02-13,YOG ,Jasa,35.5,57.0,5.0,26.5,3.0,Ya,530.0,Lancar
K-0187,2025-03-13,bandung,KULINER,51.9,,2.0,48.1,5.0,Ya,377.0,Macet
K-0188,"Apr 04, 2025",,Retail,38.0,96.0,5.0,15.2,0.0,Ya,714.0,Lancar
K-0189,24/06/2024,Bandung,kerajinan,31.1,57.0,7.0,23.5,4.0,0,366.0,Lancar
K-0190,"Jul 25, 2024",Medan,Retail,77.5,92.0,7.0,69.1,2.0,Ya,475.0,Macet
K-0191,19/11/2025,Bandung,Fashion,23.1,135.0,,15.7,3.0,Ya,468.0,Lancar
K-0192,16/03/2025,Jakarta,kuliner,21.6,93.0,4.0,16.3,2.0,,551.0,Lancar
K-0193,2024-09-24,Jakarta,PERTANIAN,15.7,90.0,3.0,9.0,3.0,Ya,,Lancar
K-0194,"May 30, 2026",Bandung,kerajinan ,,9.0,4.0,8.4,1.0,Ya,552.0,Lancar
K-0195,2026-04-16,,retail ,34.0,164.0,2.0,24.2,3.0,Ya,493.0,Macet
K-0196,2024-08-25,medan ,Retail,35.1,9.0,6.0,16.1,2.0,Tidak,516.0,Macet
K-0197,20/04/2026,MDN,Kuliner,31.5,68.0,8.0,20.1,,Ya,583.0,Lancar
K-0198,2024-10-05,BDG ,Fashion,15.0,20.0,3.0,8.9,0.0,1,585.0,Lancar
K-0199,20/09/2024,,Fashion,23.1,,6.0,23.0,4.0,Ya,422.0,Macet
K-0200,2025-11-27,Yogyakarta,Retail,,146.0,1.0,30.2,3.0,Y,554.0,Macet
K-0201,"Jun 07, 2026",JKT,JASA,44.7,,8.0,14.8,3.0,Ya,495.0,Lancar
K-0201,"Jun 07, 2026",JKT,JASA,44.7,,8.0,14.8,3.0,Ya,495.0,Lancar
K-0202,2024-08-06,Bandung,Jasa,35.0,29.0,6.0,27.2,1.0,Ya,593.0,Lancar
K-0203,2026-06-06,jkt,Jasa,58.1,132.0,2.0,18.5,0.0,Tidak,508.0,Lancar
K-0204,2025-04-28,Medan,Pertanian,23.8,12.0,8.0,15.3,2.0,1,588.0,Lancar
K-0205,2024-09-20,bandung,pertanian,17.1,120.0,1.0,13.3,3.0,Ya,,Lancar
K-0206,2026-04-12,bandung,Pertanian,17.2,96.0,4.0,9.6,,Tidak,522.0,Lancar
K-0207,16/11/2024,Jakarta,Kuliner,14.9,109.0,6.0,6.5,3.0,Tidak,538.0,Lancar
K-0208,2026-05-23, Jakarta ,Fashion,,175.0,6.0,9.2,4.0,1,501.0,Lancar
K-0209,22/08/2025,Surabaya,JASA,50.4,128.0,1.0,22.0,2.0,Tidak,547.0,Lancar
K-0210,2025-12-03,MDN,Retail,,81.0,6.0,26.0,0.0,Tidak,528.0,Lancar
K-0211,26/04/2025,jakarta,Fashion,13.1,87.0,250.0,4.9,2.0,Y,563.0,Lancar
K-0212,2025-09-06,bandung,Pertanian,9.1,81.0,6.0,6.3,4.0,y,514.0,Lancar
K-0213,2024-12-31,Medan,pertanian,37.3,174.0,2.0,29.9,2.0,Ya,524.0,Lancar
K-0214,"Jun 06, 2026",Yogyakarta,Fashion,36.2,39.0,8.0,23.9,,Ya,431.0,Lancar
K-0215,2025-10-06,BDG ,Fashion,41.6,148.0,5.0,19.2,,Ya,456.0,Lancar
K-0216,"Sep 19, 2025",Bandung,,12.8,77.0,1.0,3.3,4.0,Tidak,454.0,Lancar
K-0217,"Jan 16, 2026",surabaya,Retail,36.9,17.0,2.0,16.2,2.0,Ya,592.0,Lancar
K-0218,"Jan 21, 2025",bandung,Jasa,22.0,24.0,1.0,14.7,3.0,Ya,494.0,Macet
K-0219,2025-02-18,Jakarta,Jasa,,15.0,6.0,11.7,4.0,Y,410.0,Lancar
K-0220,18/04/2025,yogyakarta,PERTANIAN,34.0,142.0,6.0,31.1,4.0,Ya,436.0,Lancar
K-0221,2025-08-16,medan ,pertanian,28.0,129.0,2.0,29.3,3.0,Ya,436.0,Macet
K-0222,2024-11-04,bandung,fashion ,31.9,106.0,5.0,14.1,2.0,Ya,590.0,Lancar
K-0223,02/06/2025,Yogyakarta,fashion ,42.1,118.0,5.0,22.6,3.0,,,Lancar
K-0224,2025-04-10,Surabaya,fashion ,18.1,40.0,2.0,11.8,3.0,ya,,Lancar
K-0225,31/03/2026,SBY,Jasa,24.6,101.0,2.0,13.3,2.0,Tidak,486.0,Lancar
K-0226,2025-01-01,Medan,retail ,32.7,60.0,7.0,28.5,2.0,ya,678.0,Lancar
K-0227,2025-07-27,Surabaya,Retail,30.0,135.0,8.0,12.5,,Tidak,384.0,Macet
K-0228,29/07/2025,Surabaya,Fashion,29.2,105.0,8.0,19.1,2.0,N,516.0,Macet
K-0229,"Jun 08, 2026",jkt,,28.1,83.0,5.0,14.8,,T,541.0,Macet
K-0230,08/07/2025,Jakarta,KULINER,18.1,85.0,5.0,11.2,0.0,Ya,690.0,Lancar
K-0230,08/07/2025,Jakarta,KULINER,18.1,85.0,5.0,11.2,0.0,Ya,690.0,Lancar
K-0231,2025-09-16,,Jasa,7.0,135.0,2.0,6.3,,Ya,553.0,Macet
K-0232,2026-02-09,Surabaya,pertanian,19.4,99.0,4.0,14.8,3.0,Tidak,386.0,Macet
K-0233,2026-03-24,Yogyakarta,JASA,28.2,131.0,2.0,20.6,2.0,Ya,432.0,Lancar
K-0234,22/07/2024,Surabaya,Pertanian,32.1,7.0,2.0,26.5,4.0,n,399.0,Macet
K-0235,18/11/2024,Surabaya,Retail,22.0,93.0,4.0,8.5,3.0,Ya,519.0,Lancar
K-0236,2024-08-03,Makassar,retail ,99.8,74.0,5.0,55.5,2.0,Tidak,548.0,Lancar
K-0237,2025-08-31,medan ,pertanian,16.6,165.0,3.0,13.0,4.0,y,491.0,Lancar
K-0238,2025-05-01,Yogyakarta,Fashion,,97.0,6.0,10.6,1.0,Ya,653.0,Lancar
K-0239,"Dec 09, 2024",Bandung,kerajinan,14.3,,5.0,8.8,1.0,Y,,Lancar
K-0240,2024-11-07,Jakarta,kerajinan,,57.0,2.0,26.4,5.0,Tidak,427.0,Macet
K-0241,2026-05-18,Yogyakarta,Fashion,40.7,37.0,,24.4,,T,517.0,Lancar
K-0242,23/03/2026,Jakarta,Retail,16.9,55.0,3.0,8.5,0.0,n,603.0,Lancar
K-0243,2026-04-14,BDG ,Kerajinan,27.1,84.0,7.0,20.1,5.0,tidak,353.0,Macet
K-0244,"May 06, 2025",makassar,Fashion,33.8,120.0,5.0,22.2,,Tidak,586.0,Lancar
K-0245,"Jun 17, 2025",jakarta,Kerajinan,34.6,152.0,7.0,24.8,0.0,ya,681.0,Lancar
K-0246,"Apr 14, 2025",jakarta,kerajinan,21.5,87.0,3.0,13.3,0.0,Tidak,702.0,Lancar
K-0247,2024-09-28,YOG ,Fashion,22.5,49.0,5.0,12.3,3.0,Ya,547.0,Macet
K-0248,2026-01-09,SBY,kuliner,5.9,60.0,5.0,4.4,2.0,Tidak,419.0,Macet
K-0249,08/06/2026,bandung,Kuliner,,164.0,7.0,17.8,3.0,Ya,568.0,Lancar
K-0250,2025-07-06,Surabaya,PERTANIAN,11.1,121.0,,3.1,1.0,Ya,671.0,Lancar
