tanggal,id_transaksi,produk,kategori,jumlah,harga_satuan,total,kota
2026-05-01,TRX-0031,Teh Manis,Minuman,4,8000,32000,Makassar
2026-05-22,TRX-0032,Pisang Goreng,Snack,1,10000,10000,Bandung
2026-01-16,TRX-0033,Kopi Susu,Minuman,4,18000,72000,Surabaya
2026-04-11,TRX-0034,Ayam Geprek,Makanan,4,23000,92000,Makassar
2026-03-21,TRX-0035,Martabak,Snack,3,35500,106500,Bandung
2026-06-04,TRX-0036,Air Mineral,Minuman,1,4000,4000,Makassar
2026-05-07,TRX-0037,Ayam Geprek,Makanan,4,23000,92000,Medan
2026-03-06,TRX-0038,Ayam Geprek,Makanan,1,23000,23000,Bandung
2026-05-21,TRX-0039,Keripik,Snack,4,12500,50000,Jakarta
2026-02-26,TRX-0040,Bakso,Makanan,3,19000,57000,Surabaya
2026-02-08,TRX-0041,Bakso,Makanan,4,18500,74000,Jakarta
2026-05-02,TRX-0042,Bakso,Makanan,2,19000,38000,Surabaya
2026-02-28,TRX-0043,Nasi Goreng,Makanan,2,25000,50000,Jakarta
2026-06-12,TRX-0044,Nasi Goreng,Makanan,3,26000,78000,Bandung
2026-02-20,TRX-0045,Martabak,Snack,3,35000,105000,Bandung
2026-06-27,TRX-0046,Sate Ayam,Makanan,1,30000,30000,Surabaya
2026-02-21,TRX-0047,Pisang Goreng,Snack,3,10500,31500,Bandung
2026-01-04,TRX-0048,Es Teh,Minuman,4,7000,28000,Jakarta
2026-03-23,TRX-0049,Kopi Susu,Minuman,4,18500,74000,Bandung
2026-01-13,TRX-0050,Bakso,Makanan,4,18000,72000,Makassar
2026-03-14,TRX-0051,Sate Ayam,Makanan,2,30500,61000,Surabaya
2026-02-14,TRX-0052,Ayam Geprek,Makanan,3,22500,67500,Bandung
2026-04-16,TRX-0053,Susu UHT,Minuman,2,8000,16000,Surabaya
2026-03-15,TRX-0054,Sate Ayam,Makanan,2,31000,62000,Bandung
2026-02-25,TRX-0055,Martabak,Snack,4,35000,140000,Bandung
2026-03-28,TRX-0056,Ayam Geprek,Makanan,3,22000,66000,Bandung
2026-03-27,TRX-0057,Teh Manis,Minuman,2,9000,18000,Surabaya
2026-02-12,TRX-0058,Air Mineral,Minuman,3,4500,13500,Medan
2026-04-21,TRX-0059,Bakso,Makanan,3,18500,55500,Medan
2026-01-20,TRX-0060,Bakso,Makanan,2,18500,37000,Jakarta
2026-06-20,TRX-0061,Nasi Goreng,Makanan,2,25000,50000,Bandung
2026-04-18,TRX-0062,Kue Lapis,Snack,2,15000,30000,Makassar
2026-01-02,TRX-0063,Susu UHT,Minuman,2,7500,15000,Jakarta
2026-01-20,TRX-0064,Martabak,Snack,4,35000,140000,Jakarta
2026-04-07,TRX-0065,Pisang Goreng,Snack,3,11000,33000,Surabaya
2026-03-09,TRX-0066,Ayam Geprek,Makanan,2,22500,45000,Jakarta
2026-01-16,TRX-0067,Kue Lapis,Snack,2,15500,31000,Bandung
2026-05-14,TRX-0068,Nasi Goreng,Makanan,4,26000,104000,Bandung
2026-02-20,TRX-0069,Ayam Geprek,Makanan,2,22500,45000,Surabaya
2026-01-05,TRX-0070,Keripik,Snack,4,13000,52000,Makassar
2026-02-06,TRX-0071,Es Teh,Minuman,1,6000,6000,Makassar
2026-05-07,TRX-0072,Martabak,Snack,4,35000,140000,Makassar
2026-06-19,TRX-0073,Bakso,Makanan,3,19000,57000,Surabaya
2026-03-10,TRX-0074,Susu UHT,Minuman,4,8000,32000,Bandung
2026-05-28,TRX-0075,Kopi Susu,Minuman,3,18500,55500,Bandung
2026-04-24,TRX-0076,Nasi Goreng,Makanan,1,25500,25500,Jakarta
2026-05-03,TRX-0077,Ayam Geprek,Makanan,4,23000,92000,Medan
2026-02-02,TRX-0078,Es Teh,Minuman,2,7000,14000,Medan
2026-05-15,TRX-0079,Pisang Goreng,Snack,2,10500,21000,Surabaya
2026-03-13,TRX-0080,Martabak,Snack,1,35000,35000,Medan
2026-02-15,TRX-0081,Keripik,Snack,3,12000,36000,Bandung
2026-01-17,TRX-0082,Air Mineral,Minuman,1,5000,5000,Surabaya
2026-01-20,TRX-0083,Martabak,Snack,1,36000,36000,Jakarta
2026-03-16,TRX-0084,Ayam Geprek,Makanan,4,22500,90000,Medan
2026-04-18,TRX-0085,Ayam Geprek,Makanan,1,22000,22000,Surabaya
2026-03-03,TRX-0086,Kopi Susu,Minuman,4,18000,72000,Medan
2026-01-02,TRX-0087,Air Mineral,Minuman,2,4000,8000,Makassar
2026-01-14,TRX-0088,Nasi Goreng,Makanan,2,25500,51000,Surabaya
2026-06-01,TRX-0089,Mie Ayam,Makanan,2,21000,42000,Surabaya
2026-01-07,TRX-0090,Susu UHT,Minuman,3,7000,21000,Bandung
2026-02-22,TRX-0091,Susu UHT,Minuman,1,8000,8000,Makassar
2026-02-18,TRX-0092,Nasi Goreng,Makanan,4,26000,104000,Jakarta
2026-01-24,TRX-0093,Susu UHT,Minuman,2,8000,16000,Medan
2026-04-23,TRX-0094,Martabak,Snack,4,36000,144000,Jakarta
2026-03-05,TRX-0095,Sate Ayam,Makanan,3,31000,93000,Jakarta
2026-01-08,TRX-0096,Nasi Goreng,Makanan,1,26000,26000,Jakarta
2026-03-21,TRX-0097,Bakso,Makanan,2,18500,37000,Medan
2026-04-21,TRX-0098,Susu UHT,Minuman,4,7500,30000,Makassar
2026-01-14,TRX-0099,Ayam Geprek,Makanan,4,22000,88000,Medan
2026-02-13,TRX-0100,Teh Manis,Minuman,3,8000,24000,Surabaya
2026-03-23,TRX-0101,Mie Ayam,Makanan,4,20500,82000,Makassar
2026-01-05,TRX-0102,Nasi Goreng,Makanan,4,25000,100000,Surabaya
2026-04-21,TRX-0103,Kue Lapis,Snack,2,16000,32000,Makassar
2026-03-16,TRX-0104,Teh Manis,Minuman,1,9000,9000,Makassar
2026-01-16,TRX-0105,Sate Ayam,Makanan,1,30000,30000,Bandung
2026-06-24,TRX-0106,Nasi Goreng,Makanan,2,25500,51000,Medan
2026-05-25,TRX-0107,Teh Manis,Minuman,2,8000,16000,Surabaya
2026-06-07,TRX-0108,Air Mineral,Minuman,2,5000,10000,Makassar
2026-05-16,TRX-0109,Sate Ayam,Makanan,2,30500,61000,Medan
2026-01-13,TRX-0110,Sate Ayam,Makanan,2,30500,61000,Surabaya
2026-01-06,TRX-0111,Pisang Goreng,Snack,4,10500,42000,Makassar
2026-04-10,TRX-0112,Bakso,Makanan,4,19000,76000,Surabaya
2026-06-27,TRX-0113,Teh Manis,Minuman,4,9000,36000,Jakarta
2026-06-05,TRX-0114,Keripik,Snack,4,12000,48000,Makassar
2026-05-12,TRX-0115,Es Teh,Minuman,4,6000,24000,Makassar
2026-06-27,TRX-0116,Sate Ayam,Makanan,4,30000,120000,Jakarta
2026-04-17,TRX-0117,Keripik,Snack,1,12500,12500,Jakarta
2026-05-24,TRX-0118,Air Mineral,Minuman,3,4500,13500,Makassar
2026-02-27,TRX-0119,Nasi Goreng,Makanan,3,26000,78000,Surabaya
2026-02-22,TRX-0120,Bakso,Makanan,3,18000,54000,Bandung
2026-04-18,TRX-0121,Nasi Goreng,Makanan,4,25000,100000,Bandung
2026-06-04,TRX-0122,Keripik,Snack,2,12000,24000,Medan
2026-02-28,TRX-0123,Teh Manis,Minuman,3,8500,25500,Medan
2026-04-02,TRX-0124,Martabak,Snack,1,35000,35000,Surabaya
2026-02-10,TRX-0125,Susu UHT,Minuman,2,7000,14000,Surabaya
2026-06-02,TRX-0126,Bakso,Makanan,2,19000,38000,Surabaya
2026-05-12,TRX-0127,Pisang Goreng,Snack,3,10000,30000,Bandung
2026-05-23,TRX-0128,Kue Lapis,Snack,2,15000,30000,Medan
2026-01-17,TRX-0129,Kopi Susu,Minuman,4,18500,74000,Medan
2026-01-13,TRX-0130,Ayam Geprek,Makanan,1,22500,22500,Medan
2026-06-07,TRX-0131,Pisang Goreng,Snack,3,11000,33000,Makassar
2026-03-11,TRX-0132,Es Teh,Minuman,4,7000,28000,Surabaya
2026-05-23,TRX-0133,Martabak,Snack,3,35000,105000,Surabaya
2026-03-24,TRX-0134,Keripik,Snack,4,12000,48000,Bandung
2026-01-09,TRX-0135,Kue Lapis,Snack,1,16000,16000,Jakarta
2026-06-06,TRX-0136,Teh Manis,Minuman,1,9000,9000,Jakarta
2026-02-21,TRX-0137,Bakso,Makanan,3,18500,55500,Surabaya
2026-01-26,TRX-0138,Air Mineral,Minuman,1,4500,4500,Bandung
2026-06-13,TRX-0139,Pisang Goreng,Snack,2,11000,22000,Bandung
2026-05-21,TRX-0140,Pisang Goreng,Snack,2,10500,21000,Medan
2026-04-01,TRX-0141,Martabak,Snack,1,35000,35000,Jakarta
2026-06-01,TRX-0142,Air Mineral,Minuman,4,4000,16000,Bandung
2026-06-29,TRX-0143,Air Mineral,Minuman,1,4500,4500,Jakarta
2026-05-10,TRX-0144,Teh Manis,Minuman,1,8500,8500,Medan
2026-02-07,TRX-0145,Pisang Goreng,Snack,4,10500,42000,Makassar
2026-01-16,TRX-0146,Air Mineral,Minuman,3,4500,13500,Medan
2026-01-06,TRX-0147,Nasi Goreng,Makanan,1,25500,25500,Bandung
2026-04-19,TRX-0148,Kopi Susu,Minuman,3,19000,57000,Jakarta
2026-05-05,TRX-0149,Susu UHT,Minuman,1,8000,8000,Medan
2026-01-26,TRX-0150,Kopi Susu,Minuman,1,18500,18500,Bandung
2026-01-26,TRX-0151,Keripik,Snack,2,12000,24000,Medan
2026-05-06,TRX-0152,Susu UHT,Minuman,4,7500,30000,Surabaya
2026-04-18,TRX-0153,Keripik,Snack,3,13000,39000,Medan
2026-06-01,TRX-0154,Ayam Geprek,Makanan,4,22000,88000,Medan
2026-04-16,TRX-0155,Kue Lapis,Snack,4,15500,62000,Medan
2026-02-01,TRX-0156,Bakso,Makanan,3,18000,54000,Makassar
2026-05-29,TRX-0157,Martabak,Snack,2,35500,71000,Makassar
2026-03-29,TRX-0158,Nasi Goreng,Makanan,1,25000,25000,Surabaya
2026-05-25,TRX-0159,Keripik,Snack,2,13000,26000,Makassar
2026-04-25,TRX-0160,Bakso,Makanan,1,18500,18500,Surabaya
2026-06-14,TRX-0161,Martabak,Snack,3,35000,105000,Bandung
2026-05-20,TRX-0162,Bakso,Makanan,3,19000,57000,Makassar
2026-05-23,TRX-0163,Kopi Susu,Minuman,1,18000,18000,Bandung
2026-03-01,TRX-0164,Martabak,Snack,2,36000,72000,Surabaya
2026-04-30,TRX-0165,Teh Manis,Minuman,4,9000,36000,Medan
2026-05-23,TRX-0166,Ayam Geprek,Makanan,1,23000,23000,Bandung
2026-01-16,TRX-0167,Pisang Goreng,Snack,3,10500,31500,Surabaya
2026-03-24,TRX-0168,Nasi Goreng,Makanan,1,26000,26000,Bandung
2026-03-27,TRX-0169,Sate Ayam,Makanan,4,30000,120000,Bandung
2026-06-14,TRX-0170,Pisang Goreng,Snack,3,11000,33000,Jakarta
2026-06-06,TRX-0171,Air Mineral,Minuman,1,5000,5000,Surabaya
2026-06-11,TRX-0172,Bakso,Makanan,4,18500,74000,Bandung
2026-03-15,TRX-0173,Mie Ayam,Makanan,3,21000,63000,Makassar
2026-02-03,TRX-0174,Bakso,Makanan,3,18500,55500,Surabaya
2026-03-19,TRX-0175,Kue Lapis,Snack,1,16000,16000,Bandung
2026-03-19,TRX-0176,Air Mineral,Minuman,1,5000,5000,Medan
2026-01-12,TRX-0177,Bakso,Makanan,2,18000,36000,Medan
2026-04-15,TRX-0178,Bakso,Makanan,4,18500,74000,Bandung
2026-04-10,TRX-0179,Pisang Goreng,Snack,2,11000,22000,Bandung
2026-05-13,TRX-0180,Mie Ayam,Makanan,3,21000,63000,Medan
2026-01-25,TRX-0181,Nasi Goreng,Makanan,2,25500,51000,Jakarta
2026-04-02,TRX-0182,Bakso,Makanan,4,18500,74000,Medan
2026-05-06,TRX-0183,Teh Manis,Minuman,2,9000,18000,Jakarta
2026-03-11,TRX-0184,Ayam Geprek,Makanan,3,23000,69000,Jakarta
2026-01-02,TRX-0185,Mie Ayam,Makanan,3,20000,60000,Medan
2026-03-25,TRX-0186,Sate Ayam,Makanan,2,30000,60000,Surabaya
2026-01-26,TRX-0187,Nasi Goreng,Makanan,3,25000,75000,Bandung
2026-06-18,TRX-0188,Martabak,Snack,4,35500,142000,Medan
2026-05-06,TRX-0189,Ayam Geprek,Makanan,2,23000,46000,Makassar
2026-03-03,TRX-0190,Pisang Goreng,Snack,3,11000,33000,Bandung
2026-06-24,TRX-0191,Susu UHT,Minuman,1,7500,7500,Jakarta
2026-04-22,TRX-0192,Nasi Goreng,Makanan,3,26000,78000,Medan
2026-04-11,TRX-0193,Pisang Goreng,Snack,2,10000,20000,Jakarta
2026-04-04,TRX-0194,Bakso,Makanan,3,18000,54000,Jakarta
2026-04-05,TRX-0195,Air Mineral,Minuman,2,4500,9000,Makassar
2026-03-11,TRX-0196,Kue Lapis,Snack,4,15000,60000,Makassar
2026-02-15,TRX-0197,Ayam Geprek,Makanan,2,22500,45000,Surabaya
2026-04-10,TRX-0198,Pisang Goreng,Snack,2,10500,21000,Bandung
2026-05-26,TRX-0199,Pisang Goreng,Snack,4,11000,44000,Surabaya
2026-01-02,TRX-0200,Sate Ayam,Makanan,1,30000,30000,Bandung
2026-04-18,TRX-0201,Es Teh,Minuman,1,6500,6500,Surabaya
2026-04-22,TRX-0202,Martabak,Snack,3,36000,108000,Bandung
2026-06-28,TRX-0203,Martabak,Snack,3,35000,105000,Jakarta
2026-04-23,TRX-0204,Teh Manis,Minuman,1,9000,9000,Jakarta
2026-03-31,TRX-0205,Air Mineral,Minuman,1,4500,4500,Bandung
2026-03-06,TRX-0206,Sate Ayam,Makanan,2,30500,61000,Bandung
2026-03-24,TRX-0207,Pisang Goreng,Snack,4,10000,40000,Bandung
2026-03-31,TRX-0208,Bakso,Makanan,3,18500,55500,Bandung
2026-03-19,TRX-0209,Keripik,Snack,4,13000,52000,Jakarta
2026-02-15,TRX-0210,Susu UHT,Minuman,2,8000,16000,Medan
2026-03-12,TRX-0211,Nasi Goreng,Makanan,4,25000,100000,Medan
2026-03-01,TRX-0212,Kopi Susu,Minuman,1,18000,18000,Jakarta
2026-03-22,TRX-0213,Kopi Susu,Minuman,4,19000,76000,Medan
2026-05-10,TRX-0214,Bakso,Makanan,3,18500,55500,Bandung
2026-05-30,TRX-0215,Bakso,Makanan,2,18500,37000,Bandung
2026-05-15,TRX-0216,Susu UHT,Minuman,1,7000,7000,Surabaya
2026-02-17,TRX-0217,Sate Ayam,Makanan,3,30500,91500,Surabaya
2026-01-10,TRX-0218,Es Teh,Minuman,3,6000,18000,Surabaya
2026-05-09,TRX-0219,Susu UHT,Minuman,3,7500,22500,Makassar
2026-05-23,TRX-0220,Ayam Geprek,Makanan,4,23000,92000,Surabaya
2026-06-11,TRX-0221,Keripik,Snack,3,12000,36000,Surabaya
2026-04-28,TRX-0222,Bakso,Makanan,4,18000,72000,Surabaya
2026-04-29,TRX-0223,Teh Manis,Minuman,4,9000,36000,Jakarta
2026-04-11,TRX-0224,Bakso,Makanan,3,18000,54000,Makassar
2026-06-28,TRX-0225,Mie Ayam,Makanan,3,20000,60000,Medan
2026-05-20,TRX-0226,Pisang Goreng,Snack,4,10000,40000,Makassar
2026-04-26,TRX-0227,Kopi Susu,Minuman,2,18000,36000,Makassar
2026-05-31,TRX-0228,Ayam Geprek,Makanan,4,22000,88000,Jakarta
2026-02-15,TRX-0229,Sate Ayam,Makanan,1,30500,30500,Makassar
2026-06-11,TRX-0230,Nasi Goreng,Makanan,2,26000,52000,Surabaya
2026-04-12,TRX-0231,Bakso,Makanan,1,18000,18000,Medan
2026-06-26,TRX-0232,Martabak,Snack,2,35500,71000,Surabaya
2026-05-29,TRX-0233,Teh Manis,Minuman,1,8500,8500,Jakarta
2026-05-16,TRX-0234,Susu UHT,Minuman,4,7500,30000,Medan
2026-03-16,TRX-0235,Es Teh,Minuman,2,7000,14000,Surabaya
2026-05-22,TRX-0236,Mie Ayam,Makanan,3,21000,63000,Surabaya
2026-01-02,TRX-0237,Air Mineral,Minuman,2,4500,9000,Makassar
2026-06-14,TRX-0238,Es Teh,Minuman,1,6000,6000,Medan
2026-01-02,TRX-0239,Teh Manis,Minuman,2,8000,16000,Makassar
2026-01-09,TRX-0240,Mie Ayam,Makanan,3,20500,61500,Bandung
2026-04-21,TRX-0241,Kopi Susu,Minuman,4,18000,72000,Makassar
2026-01-08,TRX-0242,Air Mineral,Minuman,3,4500,13500,Jakarta
2026-04-24,TRX-0243,Teh Manis,Minuman,1,9000,9000,Jakarta
2026-05-25,TRX-0244,Ayam Geprek,Makanan,2,22000,44000,Surabaya
2026-01-15,TRX-0245,Keripik,Snack,4,12000,48000,Surabaya
2026-04-28,TRX-0246,Keripik,Snack,1,13000,13000,Medan
2026-06-14,TRX-0247,Nasi Goreng,Makanan,1,26000,26000,Surabaya
2026-04-04,TRX-0248,Susu UHT,Minuman,2,7000,14000,Bandung
2026-04-13,TRX-0249,Bakso,Makanan,4,18000,72000,Bandung
2026-01-01,TRX-0250,Martabak,Snack,1,36000,36000,Jakarta
2026-04-11,TRX-0251,Air Mineral,Minuman,1,4000,4000,Jakarta
2026-06-12,TRX-0252,Sate Ayam,Makanan,1,31000,31000,Bandung
2026-01-19,TRX-0253,Martabak,Snack,4,35500,142000,Surabaya
2026-02-16,TRX-0254,Pisang Goreng,Snack,4,10000,40000,Medan
2026-06-05,TRX-0255,Sate Ayam,Makanan,4,31000,124000,Medan
2026-06-20,TRX-0256,Pisang Goreng,Snack,1,11000,11000,Jakarta
2026-02-27,TRX-0257,Mie Ayam,Makanan,1,20000,20000,Bandung
2026-05-30,TRX-0258,Air Mineral,Minuman,1,4500,4500,Bandung
2026-03-25,TRX-0259,Sate Ayam,Makanan,1,30500,30500,Bandung
2026-06-19,TRX-0260,Nasi Goreng,Makanan,3,25500,76500,Makassar
2026-03-10,TRX-0261,Teh Manis,Minuman,3,8000,24000,Surabaya
2026-05-26,TRX-0262,Mie Ayam,Makanan,4,20500,82000,Makassar
2026-05-18,TRX-0263,Ayam Geprek,Makanan,4,23000,92000,Jakarta
2026-02-27,TRX-0264,Ayam Geprek,Makanan,1,23000,23000,Makassar
2026-02-04,TRX-0265,Martabak,Snack,2,35500,71000,Medan
2026-01-27,TRX-0266,Susu UHT,Minuman,1,8000,8000,Medan
2026-02-07,TRX-0267,Nasi Goreng,Makanan,2,25000,50000,Medan
2026-05-04,TRX-0268,Nasi Goreng,Makanan,1,26000,26000,Jakarta
2026-01-18,TRX-0269,Sate Ayam,Makanan,4,31000,124000,Makassar
2026-06-27,TRX-0270,Kopi Susu,Minuman,2,18500,37000,Jakarta
2026-02-03,TRX-0271,Nasi Goreng,Makanan,3,25000,75000,Bandung
2026-05-14,TRX-0272,Air Mineral,Minuman,1,4500,4500,Medan
2026-02-11,TRX-0273,Mie Ayam,Makanan,4,20500,82000,Jakarta
2026-04-24,TRX-0274,Susu UHT,Minuman,2,8000,16000,Bandung
2026-02-18,TRX-0275,Ayam Geprek,Makanan,4,22500,90000,Surabaya
2026-06-22,TRX-0276,Sate Ayam,Makanan,3,31000,93000,Makassar
2026-01-31,TRX-0277,Bakso,Makanan,3,18000,54000,Bandung
2026-05-13,TRX-0278,Air Mineral,Minuman,4,4500,18000,Makassar
2026-01-21,TRX-0279,Air Mineral,Minuman,4,4500,18000,Bandung
2026-03-11,TRX-0280,Ayam Geprek,Makanan,4,22500,90000,Bandung
2026-05-26,TRX-0281,Air Mineral,Minuman,3,4000,12000,Bandung
2026-01-23,TRX-0282,Susu UHT,Minuman,2,7000,14000,Surabaya
2026-04-06,TRX-0283,Kue Lapis,Snack,4,15500,62000,Bandung
2026-06-29,TRX-0284,Air Mineral,Minuman,3,4500,13500,Surabaya
2026-04-21,TRX-0285,Ayam Geprek,Makanan,3,22500,67500,Surabaya
2026-06-13,TRX-0286,Es Teh,Minuman,1,6500,6500,Surabaya
2026-01-02,TRX-0287,Kopi Susu,Minuman,1,18500,18500,Surabaya
2026-06-13,TRX-0288,Martabak,Snack,4,36000,144000,Makassar
2026-02-14,TRX-0289,Susu UHT,Minuman,2,8000,16000,Jakarta
2026-01-18,TRX-0290,Nasi Goreng,Makanan,2,26000,52000,Jakarta
2026-04-07,TRX-0291,Susu UHT,Minuman,4,8000,32000,Bandung
2026-05-13,TRX-0292,Keripik,Snack,4,13000,52000,Jakarta
2026-06-07,TRX-0293,Teh Manis,Minuman,2,8500,17000,Bandung
2026-05-03,TRX-0294,Kopi Susu,Minuman,1,19000,19000,Surabaya
2026-04-24,TRX-0295,Susu UHT,Minuman,2,8000,16000,Surabaya
2026-05-31,TRX-0296,Susu UHT,Minuman,3,7500,22500,Bandung
2026-03-26,TRX-0297,Nasi Goreng,Makanan,1,25000,25000,Surabaya
2026-03-12,TRX-0298,Martabak,Snack,2,35000,70000,Surabaya
2026-02-14,TRX-0299,Nasi Goreng,Makanan,2,25000,50000,Jakarta
2026-04-26,TRX-0300,Kue Lapis,Snack,3,15500,46500,Jakarta
2026-03-03,TRX-0301,Susu UHT,Minuman,1,7000,7000,Bandung
2026-05-10,TRX-0302,Bakso,Makanan,4,18500,74000,Bandung
2026-02-07,TRX-0303,Kopi Susu,Minuman,1,19000,19000,Surabaya
2026-04-19,TRX-0304,Kue Lapis,Snack,2,15000,30000,Makassar
2026-05-02,TRX-0305,Pisang Goreng,Snack,2,10000,20000,Makassar
2026-05-13,TRX-0306,Ayam Geprek,Makanan,3,22000,66000,Medan
2026-03-24,TRX-0307,Teh Manis,Minuman,2,8500,17000,Bandung
2026-03-11,TRX-0308,Kue Lapis,Snack,3,15500,46500,Surabaya
2026-04-06,TRX-0309,Bakso,Makanan,3,18500,55500,Bandung
2026-03-20,TRX-0310,Mie Ayam,Makanan,4,20500,82000,Medan
2026-02-19,TRX-0311,Pisang Goreng,Snack,4,10500,42000,Surabaya
2026-06-14,TRX-0312,Martabak,Snack,3,35000,105000,Bandung
2026-02-01,TRX-0313,Ayam Geprek,Makanan,2,23000,46000,Jakarta
2026-01-03,TRX-0314,Keripik,Snack,4,12000,48000,Surabaya
2026-05-16,TRX-0315,Ayam Geprek,Makanan,4,23000,92000,Jakarta
2026-05-19,TRX-0316,Mie Ayam,Makanan,2,20000,40000,Medan
2026-05-17,TRX-0317,Bakso,Makanan,3,19000,57000,Jakarta
2026-05-21,TRX-0318,Air Mineral,Minuman,3,4500,13500,Surabaya
2026-02-11,TRX-0319,Mie Ayam,Makanan,4,20000,80000,Surabaya
2026-02-03,TRX-0320,Air Mineral,Minuman,3,5000,15000,Makassar
2026-06-13,TRX-0321,Air Mineral,Minuman,4,4500,18000,Makassar
2026-05-02,TRX-0322,Nasi Goreng,Makanan,1,25500,25500,Medan
2026-02-15,TRX-0323,Es Teh,Minuman,2,6000,12000,Bandung
2026-02-12,TRX-0324,Keripik,Snack,4,13000,52000,Surabaya
2026-03-22,TRX-0325,Pisang Goreng,Snack,4,10000,40000,Medan
2026-04-14,TRX-0326,Air Mineral,Minuman,1,4500,4500,Makassar
2026-04-15,TRX-0327,Air Mineral,Minuman,1,5000,5000,Jakarta
2026-03-13,TRX-0328,Nasi Goreng,Makanan,4,26000,104000,Jakarta
2026-03-31,TRX-0329,Mie Ayam,Makanan,3,20500,61500,Jakarta
2026-01-25,TRX-0330,Keripik,Snack,1,12000,12000,Surabaya
2026-02-13,TRX-0331,Martabak,Snack,1,35000,35000,Surabaya
2026-01-01,TRX-0332,Mie Ayam,Makanan,2,20500,41000,Makassar
2026-06-23,TRX-0333,Kopi Susu,Minuman,3,18500,55500,Surabaya
2026-04-18,TRX-0334,Pisang Goreng,Snack,3,10000,30000,Jakarta
2026-02-26,TRX-0335,Pisang Goreng,Snack,3,11000,33000,Bandung
2026-05-18,TRX-0336,Air Mineral,Minuman,1,4500,4500,Bandung
2026-03-08,TRX-0337,Bakso,Makanan,4,18000,72000,Jakarta
2026-01-24,TRX-0338,Kue Lapis,Snack,4,15000,60000,Jakarta
2026-06-23,TRX-0339,Pisang Goreng,Snack,1,10000,10000,Makassar
2026-04-23,TRX-0340,Bakso,Makanan,4,18000,72000,Medan
2026-01-07,TRX-0341,Nasi Goreng,Makanan,1,25000,25000,Surabaya
2026-06-27,TRX-0342,Nasi Goreng,Makanan,3,25000,75000,Bandung
2026-02-16,TRX-0343,Kopi Susu,Minuman,2,18500,37000,Bandung
2026-03-23,TRX-0344,Martabak,Snack,3,35000,105000,Bandung
2026-02-19,TRX-0345,Nasi Goreng,Makanan,4,25500,102000,Jakarta
2026-01-14,TRX-0346,Ayam Geprek,Makanan,3,22000,66000,Jakarta
2026-02-21,TRX-0347,Keripik,Snack,2,12500,25000,Surabaya
2026-02-11,TRX-0348,Nasi Goreng,Makanan,3,25500,76500,Medan
2026-03-13,TRX-0349,Mie Ayam,Makanan,4,20000,80000,Medan
2026-06-03,TRX-0350,Air Mineral,Minuman,4,5000,20000,Makassar
2026-04-07,TRX-0351,Sate Ayam,Makanan,3,30000,90000,Surabaya
2026-06-22,TRX-0352,Nasi Goreng,Makanan,1,26000,26000,Jakarta
2026-05-18,TRX-0353,Keripik,Snack,4,12500,50000,Medan
2026-04-05,TRX-0354,Es Teh,Minuman,3,6000,18000,Medan
2026-02-17,TRX-0355,Susu UHT,Minuman,3,7000,21000,Jakarta
