id_pengajuan,tanggal_pengajuan,kota,sektor,omzet_bulanan_juta,lama_usaha_bulan,jumlah_karyawan,pinjaman_diajukan_juta,riwayat_telat_12m,punya_npwp,skor_kredit
K-0040,2025-06-07,Surabaya,Retail,36.9,143.0,3.0,28.1,1.0,Ya,560.0
K-0041,2025-03-02,Surabaya,Retail,30.6,68.0,5.0,9.7,1.0,Ya,598.0
K-0042,2026-04-05,Yogyakarta,Pertanian,24.4,150.0,8.0,17.9,0.0,Ya,560.0
K-0043,2026-06-10,Medan,Kuliner,15.7,7.0,8.0,5.1,3.0,Tidak,551.0
K-0044,2026-05-11,Makassar,Fashion,15.1,135.0,4.0,15.2,0.0,Tidak,635.0
K-0045,2024-06-15,Jakarta,Retail,41.5,32.0,4.0,25.6,2.0,Ya,563.0
K-0046,2025-02-20,Medan,Retail,52.2,60.0,7.0,23.3,1.0,Ya,648.0
K-0047,2024-07-11,Surabaya,Pertanian,9.8,69.0,1.0,8.3,3.0,Ya,528.0
K-0048,2024-06-14,Medan,Jasa,82.1,75.0,2.0,82.2,1.0,Tidak,547.0
K-0049,2025-06-01,Surabaya,Pertanian,22.4,121.0,8.0,19.5,0.0,Ya,719.0
K-0050,2025-02-12,Bandung,Jasa,18.3,162.0,4.0,12.9,1.0,Ya,532.0
K-0051,2024-08-08,Jakarta,Retail,24.1,73.0,2.0,7.6,4.0,Ya,544.0
K-0052,2026-04-11,Jakarta,Pertanian,10.1,104.0,2.0,6.2,2.0,Ya,634.0
K-0053,2026-01-01,Jakarta,Jasa,13.6,166.0,1.0,13.5,5.0,Ya,481.0
K-0054,2025-01-22,Bandung,Jasa,34.8,46.0,6.0,29.6,4.0,Ya,456.0
K-0055,2024-09-10,Jakarta,Kuliner,21.4,46.0,3.0,13.3,0.0,Ya,567.0
K-0056,2026-01-03,Surabaya,Kerajinan,36.0,172.0,1.0,15.1,3.0,Ya,508.0
K-0057,2025-06-14,Bandung,Kerajinan,24.7,20.0,3.0,8.2,2.0,Tidak,460.0
K-0058,2025-03-14,Bandung,Kuliner,50.0,36.0,3.0,37.0,5.0,Ya,411.0
K-0059,2024-12-10,Surabaya,Kuliner,13.6,9.0,6.0,4.4,2.0,Ya,508.0
K-0060,2024-06-12,Yogyakarta,Jasa,24.8,69.0,6.0,10.4,4.0,Tidak,418.0
K-0061,2025-07-02,Jakarta,Fashion,15.6,110.0,2.0,10.1,0.0,Tidak,631.0
K-0062,2026-03-14,Jakarta,Pertanian,22.0,168.0,4.0,15.7,0.0,Ya,525.0
K-0063,2025-09-25,Medan,Fashion,36.2,23.0,1.0,17.7,0.0,Tidak,609.0
K-0064,2025-08-17,Jakarta,Jasa,41.2,113.0,1.0,11.9,4.0,Tidak,392.0
K-0065,2025-10-15,Surabaya,Retail,25.3,54.0,4.0,8.1,0.0,Ya,723.0
K-0066,2026-02-02,Surabaya,Jasa,33.6,114.0,7.0,20.2,1.0,Ya,603.0
K-0067,2024-11-20,Makassar,Fashion,11.3,169.0,1.0,4.6,3.0,Ya,601.0
K-0068,2024-10-05,Surabaya,Jasa,17.8,94.0,1.0,13.8,0.0,Ya,644.0
K-0069,2025-08-27,Surabaya,Fashion,41.5,13.0,4.0,18.1,4.0,Tidak,575.0
K-0070,2024-12-31,Jakarta,Retail,42.1,128.0,4.0,33.5,2.0,Tidak,506.0
K-0071,2024-09-01,Jakarta,Kerajinan,13.4,40.0,8.0,10.1,3.0,Tidak,615.0
K-0072,2025-01-15,Makassar,Kuliner,32.6,139.0,7.0,9.7,3.0,Tidak,582.0
K-0073,2025-01-06,Medan,Kerajinan,10.2,124.0,5.0,7.3,0.0,Tidak,634.0
K-0074,2024-10-07,Jakarta,Fashion,52.2,97.0,6.0,47.8,1.0,Ya,690.0
K-0075,2025-08-25,Jakarta,Jasa,15.3,6.0,3.0,5.4,3.0,Ya,562.0
K-0076,2025-01-06,Surabaya,Fashion,19.2,60.0,1.0,6.4,2.0,Ya,545.0
K-0077,2025-12-10,Jakarta,Jasa,39.5,19.0,8.0,14.1,4.0,Ya,418.0
K-0078,2024-12-19,Surabaya,Fashion,35.1,49.0,8.0,23.8,4.0,Ya,504.0
K-0079,2025-08-26,Makassar,Pertanian,15.3,24.0,5.0,8.6,4.0,Ya,587.0
K-0080,2025-09-18,Yogyakarta,Pertanian,22.2,147.0,8.0,7.5,1.0,Ya,573.0
K-0081,2026-04-27,Jakarta,Pertanian,59.4,115.0,1.0,44.3,0.0,Ya,684.0
K-0082,2025-12-14,Yogyakarta,Kuliner,29.3,118.0,2.0,28.8,2.0,Ya,525.0
K-0083,2024-11-08,Jakarta,Pertanian,11.0,96.0,4.0,4.2,0.0,Tidak,567.0
K-0084,2026-04-04,Jakarta,Kuliner,84.8,58.0,2.0,73.3,3.0,Ya,523.0
K-0085,2026-04-21,Jakarta,Pertanian,32.5,19.0,2.0,17.8,4.0,Tidak,314.0
K-0086,2025-04-04,Medan,Fashion,17.2,23.0,7.0,15.9,1.0,Ya,589.0
K-0087,2025-03-02,Jakarta,Kuliner,7.3,12.0,1.0,5.4,2.0,Ya,543.0
K-0088,2026-03-11,Jakarta,Fashion,12.6,44.0,4.0,12.2,0.0,Ya,632.0
K-0089,2024-10-10,Jakarta,Jasa,15.0,176.0,1.0,6.8,4.0,Tidak,430.0
K-0090,2026-04-28,Surabaya,Kuliner,22.3,153.0,5.0,15.4,4.0,Ya,547.0
K-0091,2025-05-27,Makassar,Jasa,13.0,142.0,5.0,8.4,3.0,Ya,431.0
K-0092,2026-02-17,Bandung,Retail,24.6,130.0,1.0,25.4,1.0,Tidak,593.0
K-0093,2025-02-25,Surabaya,Jasa,23.7,146.0,3.0,16.3,1.0,Tidak,601.0
K-0094,2024-10-16,Yogyakarta,Pertanian,106.9,79.0,5.0,30.9,3.0,Tidak,485.0
K-0095,2024-07-14,Makassar,Pertanian,50.3,163.0,2.0,15.5,3.0,Tidak,398.0
K-0096,2026-02-18,Bandung,Kuliner,26.4,150.0,7.0,14.8,0.0,Tidak,625.0
K-0097,2025-10-07,Surabaya,Retail,17.7,31.0,1.0,10.8,4.0,Ya,411.0
K-0098,2024-08-10,Surabaya,Jasa,6.8,47.0,1.0,7.1,4.0,Ya,586.0
K-0099,2025-03-24,Bandung,Jasa,8.2,87.0,1.0,7.0,0.0,Ya,653.0
K-0100,2024-08-25,Medan,Retail,28.9,69.0,2.0,26.5,1.0,Ya,557.0
K-0101,2025-05-07,Bandung,Jasa,55.5,52.0,1.0,22.7,3.0,Ya,502.0
K-0102,2025-03-12,Surabaya,Kerajinan,49.5,42.0,4.0,12.9,1.0,Ya,522.0
K-0103,2024-07-12,Jakarta,Kerajinan,15.6,46.0,8.0,11.7,4.0,Ya,412.0
K-0104,2025-07-07,Bandung,Retail,22.0,25.0,5.0,14.3,2.0,Ya,548.0
K-0105,2026-03-14,Jakarta,Fashion,30.7,107.0,7.0,12.4,3.0,Tidak,437.0
K-0106,2025-08-01,Jakarta,Kuliner,13.2,85.0,8.0,13.8,2.0,Ya,516.0
K-0107,2026-01-04,Yogyakarta,Kerajinan,39.1,169.0,5.0,20.4,4.0,Tidak,435.0
K-0108,2025-10-06,Jakarta,Kuliner,33.1,121.0,7.0,31.4,2.0,Ya,474.0
K-0109,2025-08-29,Medan,Retail,45.5,117.0,1.0,20.7,3.0,Ya,537.0
K-0110,2026-02-06,Bandung,Retail,46.4,139.0,5.0,34.7,1.0,Tidak,604.0
K-0111,2024-06-29,Jakarta,Jasa,45.0,42.0,4.0,35.9,1.0,Tidak,596.0
K-0112,2026-04-02,Surabaya,Pertanian,16.4,37.0,4.0,13.9,3.0,Ya,568.0
K-0113,2025-01-05,Surabaya,Fashion,10.4,150.0,8.0,3.1,2.0,Ya,516.0
K-0114,2026-04-10,Makassar,Kuliner,34.0,22.0,5.0,11.8,0.0,Tidak,700.0
K-0115,2025-04-25,Surabaya,Kerajinan,14.9,159.0,3.0,8.4,0.0,Ya,601.0
K-0116,2026-05-20,Medan,Fashion,15.4,122.0,6.0,7.7,0.0,Ya,662.0
K-0117,2026-01-19,Jakarta,Fashion,31.8,131.0,2.0,32.9,3.0,Tidak,554.0
K-0118,2024-09-05,Jakarta,Fashion,22.9,53.0,8.0,13.3,2.0,Ya,622.0
K-0119,2025-04-22,Yogyakarta,Fashion,35.5,95.0,1.0,31.0,3.0,Ya,534.0
K-0120,2024-10-30,Bandung,Retail,74.4,28.0,6.0,55.3,0.0,Tidak,677.0
K-0121,2025-10-03,Surabaya,Retail,23.5,7.0,5.0,18.1,1.0,Ya,587.0
K-0122,2024-10-20,Jakarta,Pertanian,15.6,71.0,5.0,13.2,1.0,Ya,512.0
K-0123,2024-06-10,Medan,Retail,28.8,119.0,8.0,9.7,0.0,Tidak,679.0
K-0124,2026-03-24,Medan,Kuliner,28.2,146.0,5.0,14.4,4.0,Ya,565.0
K-0125,2024-08-11,Yogyakarta,Fashion,72.7,129.0,1.0,33.5,0.0,Ya,680.0
K-0126,2025-06-12,Bandung,Pertanian,41.8,18.0,1.0,35.9,4.0,Ya,445.0
K-0127,2024-06-29,Medan,Pertanian,26.7,78.0,5.0,25.3,2.0,Tidak,525.0
K-0128,2024-12-13,Jakarta,Pertanian,19.3,108.0,4.0,5.8,1.0,Tidak,636.0
K-0129,2024-09-27,Jakarta,Fashion,55.2,69.0,8.0,44.8,2.0,Ya,508.0
K-0130,2026-02-05,Medan,Kuliner,18.1,94.0,1.0,11.2,1.0,Ya,514.0
K-0131,2024-10-31,Bandung,Jasa,12.5,122.0,8.0,5.8,1.0,Ya,594.0
K-0132,2026-06-05,Makassar,Pertanian,7.6,33.0,8.0,5.0,4.0,Ya,515.0
K-0133,2026-01-29,Surabaya,Retail,44.8,148.0,8.0,38.3,2.0,Tidak,597.0
K-0134,2025-11-15,Yogyakarta,Jasa,26.0,33.0,6.0,21.3,3.0,Tidak,525.0
K-0135,2024-08-27,Bandung,Kerajinan,37.8,62.0,2.0,38.3,0.0,Ya,639.0
K-0136,2025-07-01,Yogyakarta,Fashion,18.0,140.0,1.0,14.4,4.0,Tidak,452.0
K-0137,2026-02-15,Yogyakarta,Kuliner,14.9,164.0,8.0,7.0,0.0,Ya,637.0
K-0138,2025-07-25,Jakarta,Jasa,19.6,58.0,7.0,19.7,1.0,Ya,650.0
K-0139,2026-04-03,Surabaya,Jasa,22.6,139.0,5.0,7.0,3.0,Ya,495.0
K-0140,2024-07-03,Medan,Kuliner,13.9,160.0,7.0,3.7,1.0,Ya,568.0
K-0141,2026-01-06,Jakarta,Retail,60.5,34.0,1.0,33.0,4.0,Tidak,509.0
K-0142,2024-12-13,Surabaya,Kuliner,50.7,114.0,4.0,23.6,1.0,Ya,577.0
K-0143,2026-04-29,Bandung,Retail,114.6,93.0,4.0,51.2,3.0,Ya,502.0
K-0144,2025-11-24,Surabaya,Kerajinan,26.3,123.0,6.0,12.9,2.0,Ya,456.0
K-0145,2024-08-12,Jakarta,Jasa,35.2,173.0,1.0,20.9,4.0,Tidak,455.0
K-0146,2026-01-23,Jakarta,Pertanian,45.1,94.0,5.0,27.8,3.0,Ya,527.0
K-0147,2025-04-29,Bandung,Kuliner,29.8,48.0,7.0,21.7,3.0,Tidak,434.0
K-0148,2025-10-25,Jakarta,Kuliner,46.7,87.0,6.0,26.7,3.0,Tidak,559.0
K-0149,2025-04-06,Jakarta,Retail,24.7,159.0,8.0,7.9,2.0,Tidak,519.0
K-0150,2025-08-24,Medan,Kuliner,15.0,52.0,1.0,7.7,1.0,Ya,715.0
