id_pelanggan,umur,kota,paket,lama_berlangganan_bulan,tagihan_bulanan,churn
C-0112,25,Jakarta,Sultan,48,153000,0
C-0113,32,Surabaya,Data Only,5,85000,0
C-0114,26,Semarang,Data Only,57,93000,1
C-0115,30,Bandung,Data Only,8,99000,0
C-0116,30,Bandung,Sultan+,49,265000,0
C-0117,23,Surabaya,Hemat,15,68000,0
C-0118,17,Surabaya,Data Only,7,99000,0
C-0119,55,Medan,Sultan,55,150000,0
C-0120,43,Surabaya,Hemat,31,54000,1
C-0121,19,Makassar,Hemat,35,55000,0
C-0122,56,Surabaya,Data Only,55,88000,0
C-0123,22,Medan,Data Only,37,92000,0
C-0124,66,Medan,Sultan,44,164000,0
C-0125,69,Surabaya,Sultan+,32,263000,0
C-0126,28,Surabaya,Sultan+,35,260000,0
C-0127,42,Semarang,Sultan,33,152000,0
C-0128,31,Medan,Data Only,60,82000,0
C-0129,20,Makassar,Hemat,40,57000,0
C-0130,48,Jakarta,Sultan,4,148000,1
C-0131,48,Bandung,Data Only,43,80000,0
C-0132,44,Surabaya,Sultan+,60,265000,0
C-0133,45,Medan,Data Only,5,87000,0
C-0134,47,Makassar,Sultan,12,157000,1
C-0135,23,Bandung,Sultan,17,152000,0
C-0136,41,Makassar,Sultan+,55,252000,0
C-0137,29,Semarang,Hemat,54,56000,0
C-0138,68,Jakarta,Sultan,55,147000,0
C-0139,38,Bandung,Sultan,22,165000,0
C-0140,45,Bandung,Data Only,7,96000,0
C-0141,50,Makassar,Sultan+,51,252000,0
C-0142,30,Surabaya,Data Only,29,84000,0
C-0143,43,Jakarta,Data Only,58,81000,0
C-0144,70,Jakarta,Data Only,2,81000,0
C-0145,41,Jakarta,Sultan,38,156000,0
C-0146,39,Makassar,Sultan,36,149000,0
C-0147,33,Jakarta,Hemat,12,56000,0
C-0148,23,Semarang,Data Only,57,89000,0
C-0149,23,Bandung,Sultan,58,145000,0
C-0150,44,Jakarta,Data Only,57,88000,0
C-0151,44,Bandung,Hemat,27,64000,0
C-0152,60,Surabaya,Data Only,59,89000,0
C-0153,19,Makassar,Sultan+,57,253000,0
C-0154,61,Semarang,Data Only,18,90000,0
C-0155,60,Surabaya,Data Only,34,96000,1
C-0156,39,Bandung,Data Only,56,82000,0
C-0157,61,Semarang,Data Only,21,89000,0
C-0158,57,Jakarta,Sultan+,9,246000,0
C-0159,59,Medan,Data Only,41,93000,0
C-0160,23,Medan,Sultan,19,146000,0
C-0161,69,Surabaya,Hemat,42,68000,0
C-0162,42,Bandung,Hemat,52,60000,0
C-0163,41,Medan,Sultan,55,160000,0
C-0164,43,Surabaya,Sultan,56,164000,0
C-0165,25,Semarang,Data Only,4,81000,0
C-0166,24,Semarang,Hemat,57,60000,0
C-0167,23,Semarang,Hemat,28,50000,0
C-0168,22,Jakarta,Data Only,34,85000,0
C-0169,45,Makassar,Sultan+,38,259000,0
C-0170,64,Makassar,Sultan+,4,262000,0
C-0171,21,Medan,Data Only,35,91000,0
C-0172,49,Bandung,Hemat,7,53000,1
C-0173,61,Surabaya,Sultan+,19,259000,0
C-0174,55,Bandung,Data Only,32,94000,0
C-0175,54,Surabaya,Data Only,29,95000,0
C-0176,19,Makassar,Data Only,58,88000,0
C-0177,48,Semarang,Data Only,60,85000,0
C-0178,22,Jakarta,Sultan,10,155000,0
C-0179,59,Makassar,Data Only,23,99000,0
C-0180,61,Medan,Sultan+,5,246000,1
C-0181,20,Semarang,Hemat,31,51000,0
C-0182,35,Surabaya,Data Only,39,83000,0
C-0183,28,Surabaya,Sultan+,57,247000,0
C-0184,22,Semarang,Sultan+,18,264000,0
C-0185,68,Surabaya,Sultan+,2,263000,1
C-0186,58,Medan,Hemat,1,63000,0
C-0187,44,Medan,Sultan,21,156000,0
C-0188,51,Medan,Sultan,31,164000,0
C-0189,60,Jakarta,Sultan,13,157000,0
C-0190,20,Semarang,Data Only,6,85000,0
C-0191,62,Makassar,Data Only,34,97000,0
C-0192,37,Bandung,Data Only,33,100000,0
C-0193,68,Medan,Data Only,59,85000,0
C-0194,20,Jakarta,Data Only,49,100000,0
C-0195,62,Surabaya,Hemat,25,57000,0
C-0196,61,Jakarta,Data Only,34,89000,0
C-0197,67,Semarang,Sultan,17,149000,0
C-0198,28,Makassar,Sultan+,12,261000,0
C-0199,21,Semarang,Sultan,30,161000,0
C-0200,56,Surabaya,Sultan,33,146000,0
C-0201,44,Makassar,Data Only,34,93000,0
C-0202,59,Jakarta,Data Only,5,84000,0
C-0203,67,Makassar,Hemat,10,70000,0
C-0204,40,Semarang,Sultan+,59,246000,0
C-0205,57,Bandung,Sultan,9,160000,0
C-0206,66,Jakarta,Data Only,42,83000,0
C-0207,17,Surabaya,Hemat,27,64000,0
C-0208,45,Medan,Sultan,11,152000,0
C-0209,23,Jakarta,Hemat,56,55000,0
C-0210,54,Jakarta,Data Only,38,96000,0
C-0211,41,Bandung,Data Only,46,89000,1
C-0212,21,Semarang,Sultan,29,145000,0
C-0213,50,Jakarta,Hemat,25,65000,0
C-0214,66,Makassar,Hemat,8,65000,0
C-0215,51,Medan,Hemat,20,52000,0
C-0216,55,Medan,Hemat,12,66000,0
C-0217,69,Makassar,Data Only,47,94000,0
C-0218,51,Medan,Sultan+,3,248000,1
C-0219,31,Surabaya,Data Only,42,92000,0
C-0220,40,Surabaya,Data Only,9,94000,0
C-0221,63,Bandung,Data Only,14,97000,0
C-0222,58,Surabaya,Sultan+,14,264000,1
C-0223,19,Jakarta,Sultan+,35,255000,0
C-0224,22,Surabaya,Sultan+,10,257000,1
C-0225,27,Medan,Hemat,26,61000,0
C-0226,48,Jakarta,Sultan+,4,261000,0
C-0227,26,Semarang,Data Only,11,99000,0
C-0228,63,Medan,Sultan,40,157000,0
C-0229,34,Surabaya,Data Only,55,80000,0
C-0230,30,Jakarta,Sultan,9,155000,0
C-0231,47,Jakarta,Data Only,56,89000,0
C-0232,19,Medan,Data Only,7,92000,0
C-0233,57,Bandung,Hemat,13,53000,0
C-0234,20,Makassar,Data Only,54,87000,0
C-0235,21,Bandung,Sultan+,59,245000,0
C-0236,19,Medan,Sultan+,39,265000,0
C-0237,39,Surabaya,Hemat,28,55000,0
C-0238,54,Surabaya,Sultan+,54,254000,0
C-0239,26,Semarang,Sultan,15,162000,0
C-0240,64,Medan,Data Only,55,86000,0
C-0241,21,Makassar,Data Only,16,82000,0
C-0242,22,Makassar,Hemat,60,50000,0
C-0243,56,Jakarta,Sultan+,47,257000,0
C-0244,26,Makassar,Sultan+,34,248000,0
C-0245,63,Bandung,Hemat,31,63000,0
C-0246,20,Jakarta,Data Only,4,80000,0
C-0247,50,Bandung,Hemat,2,68000,1
C-0248,23,Bandung,Sultan,2,160000,0
C-0249,29,Bandung,Hemat,7,58000,1
C-0250,25,Surabaya,Hemat,53,64000,0
C-0251,63,Bandung,Data Only,11,87000,0
C-0252,41,Makassar,Sultan+,35,258000,0
C-0253,34,Medan,Hemat,23,51000,0
C-0254,29,Jakarta,Sultan+,24,261000,0
C-0255,20,Medan,Sultan,19,151000,0
C-0256,41,Jakarta,Sultan+,48,263000,0
C-0257,17,Bandung,Sultan+,40,245000,0
C-0258,23,Bandung,Sultan,30,161000,0
C-0259,65,Jakarta,Hemat,1,60000,0
C-0260,54,Bandung,Sultan,41,149000,0
C-0261,56,Makassar,Hemat,51,69000,0
C-0262,27,Medan,Hemat,18,61000,0
C-0263,64,Bandung,Hemat,1,52000,1
C-0264,69,Medan,Data Only,13,97000,0
C-0265,30,Makassar,Data Only,60,82000,0
C-0266,52,Medan,Hemat,37,63000,0
C-0267,33,Jakarta,Data Only,3,95000,1
C-0268,20,Medan,Sultan+,51,253000,0
C-0269,45,Surabaya,Hemat,36,69000,1
C-0270,31,Jakarta,Sultan,12,153000,0
C-0271,55,Makassar,Sultan+,6,256000,0
C-0272,32,Makassar,Data Only,5,88000,0
C-0273,55,Semarang,Hemat,19,60000,0
C-0274,59,Surabaya,Data Only,41,84000,0
C-0275,37,Surabaya,Sultan,14,159000,0
C-0276,45,Surabaya,Sultan+,11,254000,0
C-0277,57,Semarang,Data Only,11,90000,0
C-0278,19,Jakarta,Sultan+,23,251000,0
C-0279,67,Surabaya,Sultan+,20,261000,0
C-0280,25,Semarang,Hemat,32,69000,0
C-0281,64,Semarang,Data Only,19,83000,0
C-0282,39,Medan,Hemat,26,57000,0
C-0283,19,Semarang,Sultan+,13,261000,0
C-0284,44,Semarang,Sultan,24,145000,0
C-0285,37,Jakarta,Data Only,36,82000,0
C-0286,18,Semarang,Sultan+,58,258000,1
C-0287,31,Jakarta,Data Only,51,86000,0
C-0288,28,Surabaya,Hemat,9,50000,1
C-0289,57,Surabaya,Sultan,23,160000,0
C-0290,33,Makassar,Sultan,12,163000,0
C-0291,41,Surabaya,Hemat,30,64000,0
C-0292,50,Medan,Sultan,49,161000,0
C-0293,38,Makassar,Sultan,28,146000,0
C-0294,19,Jakarta,Sultan,57,151000,0
C-0295,34,Surabaya,Sultan+,8,254000,0
C-0296,55,Medan,Sultan,50,159000,0
C-0297,28,Semarang,Sultan+,53,253000,0
C-0298,22,Surabaya,Sultan+,42,262000,0
C-0299,20,Semarang,Hemat,41,61000,0
C-0300,27,Semarang,Sultan+,54,252000,0
C-0301,47,Medan,Hemat,33,58000,0
C-0302,25,Bandung,Hemat,25,55000,0
C-0303,61,Jakarta,Data Only,21,100000,0
C-0304,42,Makassar,Data Only,34,80000,0
C-0305,65,Surabaya,Sultan,38,160000,1
C-0306,59,Makassar,Sultan+,39,247000,1
C-0307,33,Jakarta,Data Only,25,84000,0
C-0308,65,Surabaya,Sultan+,16,256000,0
C-0309,20,Medan,Hemat,27,61000,0
C-0310,36,Semarang,Sultan,39,160000,0
C-0311,56,Semarang,Hemat,36,52000,0
C-0312,45,Makassar,Data Only,9,80000,1
C-0313,61,Jakarta,Sultan,23,158000,0
C-0314,42,Surabaya,Sultan+,55,254000,1
C-0315,61,Semarang,Data Only,29,88000,0
C-0316,63,Medan,Sultan+,39,257000,0
C-0317,25,Medan,Data Only,20,81000,1
C-0318,23,Makassar,Sultan,2,164000,1
C-0319,50,Surabaya,Data Only,28,83000,0
C-0320,38,Jakarta,Data Only,6,92000,0
C-0321,19,Semarang,Data Only,26,99000,0
C-0322,42,Semarang,Hemat,11,62000,0
C-0323,29,Semarang,Hemat,27,64000,0
C-0324,41,Medan,Hemat,57,57000,0
C-0325,37,Jakarta,Sultan+,11,250000,0
C-0326,49,Medan,Data Only,22,81000,1
C-0327,24,Bandung,Sultan+,17,261000,0
C-0328,54,Jakarta,Sultan+,38,246000,0
C-0329,26,Jakarta,Hemat,29,69000,0
C-0330,46,Semarang,Sultan,29,148000,0
C-0331,33,Surabaya,Hemat,54,53000,0
C-0332,68,Surabaya,Sultan+,43,249000,0
C-0333,19,Surabaya,Sultan,44,149000,0
C-0334,54,Semarang,Sultan+,55,245000,0
C-0335,23,Semarang,Sultan,60,159000,0
C-0336,42,Jakarta,Sultan+,5,257000,0
C-0337,49,Surabaya,Hemat,32,53000,0
C-0338,36,Makassar,Sultan,6,158000,0
C-0339,38,Medan,Sultan,53,163000,0
C-0340,63,Semarang,Sultan,52,155000,0
C-0341,66,Surabaya,Data Only,25,98000,0
C-0342,47,Semarang,Data Only,36,91000,0
C-0343,31,Jakarta,Hemat,60,52000,0
C-0344,30,Bandung,Sultan,37,163000,0
C-0345,36,Jakarta,Hemat,57,70000,0
C-0346,65,Medan,Sultan+,34,255000,0
C-0347,65,Surabaya,Hemat,49,51000,0
C-0348,19,Medan,Sultan,38,155000,0
C-0349,22,Makassar,Data Only,16,99000,0
C-0350,29,Medan,Sultan,51,159000,0
C-0351,20,Medan,Sultan+,44,252000,0
C-0352,21,Bandung,Hemat,22,58000,0
C-0353,27,Jakarta,Data Only,23,86000,0
C-0354,63,Bandung,Sultan,58,164000,0
C-0355,53,Semarang,Data Only,8,82000,0
C-0356,33,Bandung,Sultan+,7,252000,1
C-0357,51,Surabaya,Sultan+,49,246000,0
C-0358,37,Bandung,Sultan,48,156000,0
C-0359,38,Medan,Data Only,8,94000,0
C-0360,66,Jakarta,Hemat,38,59000,0
C-0361,26,Medan,Data Only,51,98000,0
C-0362,57,Bandung,Sultan,23,145000,0
C-0363,62,Medan,Hemat,40,59000,0
C-0364,67,Semarang,Sultan,47,158000,0
C-0365,26,Medan,Sultan,48,145000,0
C-0366,61,Surabaya,Hemat,17,51000,1
C-0367,41,Jakarta,Sultan+,54,250000,0
C-0368,27,Jakarta,Data Only,49,87000,0
C-0369,29,Jakarta,Data Only,42,91000,1
C-0370,61,Bandung,Hemat,49,64000,0
C-0371,31,Surabaya,Hemat,60,57000,1
C-0372,33,Medan,Hemat,43,69000,0
C-0373,40,Jakarta,Sultan,22,147000,0
C-0374,68,Jakarta,Sultan+,55,260000,0
C-0375,56,Surabaya,Hemat,23,67000,1
C-0376,65,Jakarta,Hemat,58,57000,0
C-0377,17,Surabaya,Data Only,45,97000,0
C-0378,39,Bandung,Sultan+,22,255000,0
C-0379,20,Makassar,Sultan,34,159000,0
C-0380,26,Jakarta,Sultan,51,150000,0
C-0381,57,Medan,Hemat,46,54000,0
C-0382,32,Makassar,Data Only,54,93000,0
C-0383,66,Medan,Hemat,4,69000,0
C-0384,70,Semarang,Data Only,4,95000,0
C-0385,40,Makassar,Data Only,25,83000,0
C-0386,29,Semarang,Sultan+,36,252000,0
C-0387,67,Bandung,Sultan+,52,251000,1
C-0388,52,Makassar,Sultan,7,161000,1
C-0389,29,Makassar,Data Only,53,91000,0
C-0390,46,Jakarta,Sultan,40,163000,0
C-0391,21,Bandung,Sultan,51,161000,0
C-0392,29,Makassar,Sultan,6,152000,0
C-0393,47,Makassar,Hemat,18,60000,0
C-0394,25,Makassar,Sultan,31,163000,0
C-0395,70,Surabaya,Hemat,10,50000,0
C-0396,33,Medan,Data Only,19,81000,0
C-0397,68,Medan,Sultan,39,158000,0
C-0398,62,Surabaya,Data Only,57,100000,0
C-0399,20,Semarang,Sultan+,16,261000,0
C-0400,25,Makassar,Data Only,18,86000,0
C-0401,29,Medan,Data Only,29,84000,0
C-0402,63,Surabaya,Sultan,15,159000,0
C-0403,51,Semarang,Sultan+,59,248000,0
C-0404,17,Surabaya,Hemat,16,57000,1
C-0405,26,Bandung,Sultan+,44,258000,0
C-0406,37,Bandung,Hemat,45,57000,1
C-0407,58,Surabaya,Sultan+,29,256000,0
C-0408,37,Semarang,Sultan+,10,258000,0
C-0409,24,Jakarta,Sultan+,53,262000,1
C-0410,26,Medan,Hemat,46,61000,1
C-0411,49,Medan,Data Only,36,84000,0
C-0412,66,Medan,Sultan,55,163000,1
C-0413,49,Makassar,Sultan+,34,254000,0
C-0414,61,Bandung,Sultan+,28,264000,0
C-0415,50,Makassar,Hemat,31,64000,0
C-0416,55,Makassar,Sultan,55,161000,0
C-0417,20,Jakarta,Data Only,22,86000,0
C-0418,20,Surabaya,Sultan+,28,264000,0
C-0419,38,Semarang,Sultan+,14,262000,0
C-0420,27,Medan,Data Only,48,94000,0
C-0421,17,Medan,Sultan,4,162000,1
C-0422,18,Bandung,Sultan,4,145000,0
C-0423,29,Bandung,Sultan,51,164000,0
C-0424,40,Bandung,Data Only,57,82000,0
C-0425,58,Makassar,Hemat,55,50000,0
C-0426,67,Surabaya,Sultan,48,158000,0
C-0427,46,Bandung,Data Only,35,88000,0
C-0428,23,Bandung,Data Only,21,91000,0
C-0429,32,Jakarta,Data Only,49,89000,1
C-0430,46,Jakarta,Sultan,32,165000,0
C-0431,50,Makassar,Sultan,1,162000,0
C-0432,61,Semarang,Data Only,40,99000,0
C-0433,65,Bandung,Hemat,13,54000,0
C-0434,18,Surabaya,Hemat,16,66000,0
C-0435,65,Surabaya,Hemat,40,70000,0
C-0436,46,Surabaya,Data Only,6,92000,0
C-0437,43,Semarang,Hemat,1,63000,0
C-0438,40,Semarang,Sultan+,9,253000,0
C-0439,65,Jakarta,Sultan,18,147000,1
C-0440,22,Surabaya,Hemat,27,52000,0
C-0441,63,Semarang,Sultan+,19,246000,0
C-0442,28,Bandung,Data Only,32,82000,0
C-0443,50,Bandung,Sultan+,1,261000,0
C-0444,58,Surabaya,Sultan,34,151000,0
C-0445,38,Semarang,Data Only,27,80000,0
C-0446,21,Medan,Sultan+,33,255000,0
C-0447,47,Surabaya,Hemat,44,65000,0
C-0448,59,Semarang,Sultan,32,162000,0
C-0449,43,Semarang,Sultan+,56,252000,0
C-0450,59,Semarang,Sultan+,32,261000,0
C-0451,48,Bandung,Sultan,51,163000,0
C-0452,53,Semarang,Sultan+,4,251000,0
C-0453,32,Bandung,Hemat,44,66000,0
C-0454,25,Semarang,Data Only,4,89000,1
C-0455,63,Surabaya,Data Only,7,98000,1
C-0456,28,Bandung,Sultan+,22,256000,1
C-0457,31,Makassar,Hemat,9,68000,1
C-0458,31,Jakarta,Sultan,24,157000,0
C-0459,32,Medan,Sultan+,50,251000,0
C-0460,47,Medan,Data Only,50,90000,0
C-0461,41,Bandung,Sultan+,20,248000,1
C-0462,18,Jakarta,Sultan,4,160000,0
C-0463,40,Medan,Sultan,43,160000,0
C-0464,56,Bandung,Hemat,48,69000,1
C-0465,44,Makassar,Sultan,59,146000,1
C-0466,50,Jakarta,Sultan+,8,252000,0
C-0467,69,Jakarta,Sultan+,17,255000,0
C-0468,48,Jakarta,Hemat,44,51000,0
C-0469,51,Bandung,Sultan,11,145000,0
C-0470,58,Bandung,Sultan,59,153000,0
C-0471,50,Bandung,Sultan,42,165000,0
C-0472,32,Surabaya,Sultan+,9,261000,0
C-0473,25,Bandung,Hemat,32,51000,0
C-0474,19,Medan,Sultan,27,146000,0
C-0475,32,Semarang,Sultan+,43,257000,0
C-0476,48,Makassar,Sultan,6,153000,0
C-0477,41,Jakarta,Sultan+,48,254000,0
C-0478,46,Medan,Sultan,20,149000,0
C-0479,60,Makassar,Sultan+,12,261000,0
C-0480,20,Jakarta,Sultan,37,160000,1
C-0481,51,Jakarta,Sultan+,42,260000,0
C-0482,22,Bandung,Sultan+,56,257000,0
C-0483,35,Surabaya,Sultan+,9,250000,0
C-0484,60,Semarang,Data Only,53,90000,0
C-0485,27,Jakarta,Data Only,46,87000,1
C-0486,26,Makassar,Sultan+,3,257000,0
C-0487,39,Makassar,Data Only,19,97000,0
C-0488,34,Medan,Hemat,60,61000,0
C-0489,53,Semarang,Sultan+,35,256000,0
C-0490,67,Semarang,Data Only,43,87000,0
C-0491,43,Surabaya,Hemat,11,63000,0
C-0492,66,Bandung,Hemat,41,66000,0
C-0493,43,Makassar,Data Only,17,92000,0
C-0494,44,Jakarta,Sultan+,12,264000,0
C-0495,56,Makassar,Data Only,25,90000,0
C-0496,59,Surabaya,Hemat,25,50000,1
C-0497,22,Semarang,Sultan,22,158000,0
C-0498,57,Bandung,Sultan,55,147000,0
C-0499,43,Bandung,Sultan+,52,251000,0
C-0500,32,Surabaya,Hemat,44,58000,1
C-0501,67,Semarang,Sultan,33,149000,0
C-0502,63,Medan,Sultan+,43,256000,0
C-0503,45,Makassar,Data Only,45,92000,0
C-0504,57,Semarang,Sultan+,34,254000,0
C-0505,64,Semarang,Data Only,54,81000,0
C-0506,53,Surabaya,Sultan,31,155000,0
C-0507,60,Bandung,Sultan,10,162000,0
C-0508,27,Semarang,Sultan+,30,254000,0
C-0509,27,Makassar,Data Only,30,84000,0
C-0510,36,Jakarta,Hemat,49,69000,0
C-0511,20,Makassar,Data Only,20,98000,1
C-0512,18,Bandung,Hemat,49,56000,0
C-0513,20,Semarang,Sultan+,19,265000,0
C-0514,63,Bandung,Data Only,28,93000,0
C-0515,33,Makassar,Sultan+,50,246000,0
C-0516,49,Semarang,Sultan,17,153000,0
C-0517,40,Makassar,Sultan+,45,256000,0
C-0518,61,Bandung,Sultan+,5,260000,0
C-0519,65,Medan,Data Only,18,99000,0
C-0520,48,Makassar,Data Only,15,94000,0
C-0521,52,Bandung,Data Only,28,90000,0
C-0522,21,Makassar,Data Only,55,87000,0
C-0523,42,Medan,Hemat,17,52000,1
C-0524,30,Medan,Sultan+,37,249000,0
C-0525,19,Surabaya,Hemat,59,70000,0
C-0526,50,Semarang,Sultan,16,146000,0
C-0527,27,Medan,Hemat,36,59000,0
C-0528,52,Surabaya,Sultan+,11,250000,0
C-0529,56,Bandung,Sultan+,39,258000,0
C-0530,38,Semarang,Data Only,56,82000,0
C-0531,42,Surabaya,Sultan+,1,262000,0
C-0532,49,Makassar,Sultan+,26,251000,0
C-0533,27,Bandung,Hemat,20,65000,0
C-0534,34,Semarang,Data Only,41,87000,0
C-0535,37,Semarang,Sultan+,9,248000,0
C-0536,47,Surabaya,Sultan,59,150000,0
C-0537,61,Surabaya,Data Only,31,81000,0
C-0538,48,Jakarta,Sultan,31,161000,0
C-0539,24,Surabaya,Sultan,59,158000,0
C-0540,49,Bandung,Data Only,8,96000,0
C-0541,39,Bandung,Hemat,58,69000,0
C-0542,37,Semarang,Data Only,54,95000,0
C-0543,33,Medan,Sultan,55,147000,0
C-0544,41,Semarang,Hemat,30,60000,0
C-0545,33,Semarang,Sultan+,6,248000,0
C-0546,48,Semarang,Hemat,57,63000,0
C-0547,23,Bandung,Data Only,25,94000,0
C-0548,68,Medan,Hemat,36,63000,0
C-0549,62,Medan,Sultan,56,146000,0
C-0550,31,Jakarta,Data Only,10,87000,0
C-0551,55,Makassar,Sultan+,33,263000,0
C-0552,30,Jakarta,Hemat,51,53000,1
C-0553,68,Medan,Sultan,37,156000,0
C-0554,32,Semarang,Hemat,52,52000,0
C-0555,35,Jakarta,Sultan,6,163000,1
C-0556,50,Makassar,Data Only,42,91000,0
C-0557,25,Jakarta,Sultan+,14,257000,0
C-0558,24,Makassar,Hemat,36,64000,0
C-0559,47,Jakarta,Sultan,12,150000,0
C-0560,27,Bandung,Sultan,9,153000,0
C-0561,37,Surabaya,Hemat,21,50000,0
C-0562,65,Bandung,Hemat,33,56000,0
C-0563,54,Semarang,Sultan,25,156000,0
C-0564,41,Surabaya,Sultan,59,165000,0
C-0565,68,Jakarta,Sultan,48,145000,0
C-0566,66,Surabaya,Data Only,47,97000,0
C-0567,19,Surabaya,Sultan,51,164000,0
C-0568,26,Semarang,Sultan,3,150000,0
C-0569,41,Jakarta,Sultan,29,156000,0
