nama_makanan,porsi,kalori,protein_g,lemak_g,karbohidrat_g
Kupat Tahu,1 porsi besar,528,16.0,19.2,67.2
Kupat Tahu,100 gram,182,5.5,6.6,23.1
Lontong Sayur,1 porsi,420,11.0,16.0,56.0
Lontong Sayur,1 porsi besar,672,17.6,25.6,89.6
Lontong Sayur,100 gram,231,6.1,8.8,30.8
Sate Padang,1 porsi,400,22.0,18.0,34.0
Sate Padang,1 porsi besar,640,35.2,28.8,54.4
Sate Padang,100 gram,220,12.1,9.9,18.7
Ayam Bakar,1 porsi,480,30.0,28.0,20.0
Ayam Bakar,1 porsi besar,768,48.0,44.8,32.0
Ayam Bakar,100 gram,264,16.5,15.4,11.0
Ikan Bakar,1 porsi,420,32.0,22.0,10.0
Ikan Bakar,1 porsi besar,672,51.2,35.2,16.0
Ikan Bakar,100 gram,231,17.6,12.1,5.5
Pepes Ikan,1 porsi,300,28.0,14.0,8.0
Pepes Ikan,1 porsi besar,480,44.8,22.4,12.8
Pepes Ikan,100 gram,165,15.4,7.7,4.4
Capcay,1 porsi,220,8.0,10.0,22.0
Capcay,1 porsi besar,352,12.8,16.0,35.2
Capcay,100 gram,121,4.4,5.5,12.1
Sayur Asem,1 porsi,120,4.0,5.0,16.0
Sayur Asem,1 porsi besar,192,6.4,8.0,25.6
Sayur Asem,100 gram,66,2.2,2.8,8.8
Tempe Orek,1 porsi,260,12.0,14.0,20.0
Tempe Orek,1 porsi besar,416,19.2,22.4,32.0
Tempe Orek,100 gram,143,6.6,7.7,11.0
Perkedel,1 porsi,190,5.0,11.0,18.0
Perkedel,1 porsi besar,304,8.0,17.6,28.8
Perkedel,100 gram,105,2.8,6.1,9.9
Telur Balado,1 porsi,300,15.0,20.0,10.0
Telur Balado,1 porsi besar,480,24.0,32.0,16.0
Telur Balado,100 gram,165,8.2,11.0,5.5
Kue Lapis,1 porsi,190,2.0,6.0,32.0
Kue Lapis,1 porsi besar,304,3.2,9.6,51.2
Kue Lapis,100 gram,105,1.1,3.3,17.6
