id,divisi,masa_kerja_tahun,gaji_juta,lembur_jam,pendidikan
K-071,Keuangan,7,10.6,29,S1
K-072,Operasional,1,7.4,12,S1
K-073,Teknologi,20,17.3,18,S1
K-074,Keuangan,16,14.7,12,S1
K-075,Operasional,5,7.3,9,SMA
K-076,Teknologi,17,16.2,30,S1
K-077,Keuangan,19,17.2,14,S1
K-078,Keuangan,1,8.4,2,SMA
K-079,SDM,19,14.8,28,S1
K-080,Teknologi,13,14.9,17,S2
K-081,Teknologi,20,17.9,11,S1
K-082,Teknologi,17,14.4,26,SMA
K-083,Keuangan,4,9.1,15,S1
K-084,SDM,0,6.6,8,S1
K-085,Operasional,9,9.9,6,S1
K-086,Keuangan,2,7.5,13,SMA
K-087,Operasional,19,14.2,14,SMA
K-088,Teknologi,17,14.4,1,SMA
K-089,Operasional,7,10.7,13,S1
K-090,SDM,18,14.6,1,SMA
K-091,SDM,17,14.2,29,SMA
K-092,Marketing,12,14.8,5,S2
K-093,SDM,15,14.5,0,S1
K-094,Keuangan,19,15.6,10,SMA
K-095,Teknologi,16,16.4,7,S1
K-096,Marketing,5,9.8,22,S1
K-097,SDM,3,8.5,10,S1
K-098,Teknologi,10,14.4,11,S2
K-099,Teknologi,15,14.1,3,S1
K-100,SDM,10,13.0,8,S2
K-101,Operasional,9,11.4,19,S1
K-102,Keuangan,7,10.1,11,S1
K-103,Marketing,9,11.0,21,S1
K-104,Operasional,5,8.0,19,S1
K-105,SDM,6,11.6,10,S2
K-106,Teknologi,0,9.0,14,S2
K-107,Operasional,7,10.7,5,S1
K-108,SDM,3,7.7,26,S1
K-109,Keuangan,10,11.4,12,S1
K-110,Teknologi,8,10.9,22,S1
K-111,Marketing,2,7.6,27,SMA
K-112,Keuangan,7,11.6,4,S1
K-113,Marketing,9,11.4,21,S1
K-114,SDM,20,15.4,20,S1
K-115,Operasional,18,14.2,21,SMA
K-116,Marketing,4,8.0,5,S1
K-117,Teknologi,13,15.0,28,S2
K-118,Keuangan,5,11.5,16,S2
K-119,Teknologi,10,12.4,26,SMA
K-120,Teknologi,1,8.8,12,S1
K-121,Teknologi,19,17.7,3,S2
K-122,SDM,7,11.8,27,S2
K-123,Teknologi,11,14.2,1,S1
K-124,SDM,13,11.9,25,S1
K-125,Marketing,10,10.2,3,SMA
K-126,SDM,8,10.2,16,S1
K-127,Operasional,11,11.1,19,SMA
K-128,Teknologi,16,14.0,24,SMA
K-129,Teknologi,20,16.5,17,S1
K-130,Keuangan,4,10.5,20,S2
K-131,Marketing,8,10.2,28,S1
K-132,Operasional,3,8.5,5,S1
K-133,Teknologi,12,14.4,28,S1
K-134,Operasional,13,11.5,11,S1
K-135,Operasional,18,14.1,23,S1
K-136,SDM,10,12.2,4,S1
K-137,Operasional,13,11.6,24,S1
K-138,Teknologi,1,10.8,6,S2
K-139,Keuangan,8,11.4,0,S1
K-140,Marketing,12,11.9,23,S1
K-141,Marketing,4,8.0,28,S1
K-142,Marketing,13,13.4,12,S1
K-143,Marketing,2,7.8,18,SMA
K-144,Keuangan,3,10.1,29,S2
K-145,Operasional,13,12.3,20,SMA
K-146,SDM,16,14.5,26,S1
K-147,SDM,17,14.6,15,S1
K-148,Keuangan,7,10.5,20,S1
K-149,Keuangan,7,11.7,23,S1
K-150,SDM,11,12.4,16,S1
K-151,Marketing,15,13.4,14,SMA
K-152,Keuangan,14,14.4,5,S1
K-153,Keuangan,3,8.0,9,SMA
K-154,Keuangan,14,13.3,13,S1
K-155,Marketing,5,9.0,21,S1
K-156,SDM,8,9.5,15,S1
K-157,Marketing,5,9.2,2,SMA
K-158,Marketing,12,12.3,18,S1
K-159,Operasional,12,10.7,30,SMA
K-160,Keuangan,5,12.2,0,S2
K-161,SDM,3,7.6,16,S1
K-162,SDM,4,8.8,28,S1
K-163,Marketing,3,8.1,7,S1
K-164,Teknologi,19,18.8,10,S2
K-165,Keuangan,7,11.2,2,S1
K-166,Teknologi,3,10.2,5,S1
K-167,Operasional,11,11.1,12,S1
K-168,Teknologi,16,16.5,13,S1
K-169,SDM,8,10.9,24,S2
K-170,Marketing,7,10.3,28,S1
K-171,Teknologi,19,17.0,14,S1
K-172,Operasional,3,9.6,9,S2
K-173,Keuangan,0,8.0,2,S1
K-174,Marketing,1,7.7,3,S1
K-175,SDM,18,15.6,14,S1
K-176,SDM,14,11.7,16,SMA
K-177,Marketing,13,13.8,30,S1
K-178,Marketing,14,13.2,7,S1
K-179,Marketing,19,16.6,14,S2
K-180,Teknologi,4,11.6,7,S2
K-181,Marketing,1,8.3,11,S1
K-182,Keuangan,10,14.0,24,S2
K-183,Operasional,9,12.8,1,S2
K-184,Marketing,15,14.7,11,S1
K-185,SDM,7,10.4,28,S1
K-186,SDM,10,11.6,24,S1
K-187,Teknologi,20,18.6,6,S2
K-188,Operasional,11,12.4,26,S1
K-189,Keuangan,6,9.9,25,S1
K-190,Operasional,4,9.9,17,S2
K-191,Operasional,19,15.3,14,S1
K-192,Operasional,5,7.8,1,SMA
K-193,SDM,12,10.9,3,SMA
K-194,Marketing,16,13.4,16,SMA
K-195,Teknologi,15,15.4,2,S1
K-196,SDM,20,16.4,26,S1
K-197,SDM,8,8.8,13,SMA
K-198,Keuangan,10,11.6,0,S1
K-199,Teknologi,0,8.8,21,S1
K-200,Marketing,4,7.9,17,S1
K-201,Keuangan,8,11.7,6,S1
K-202,SDM,14,15.3,1,S2
K-203,Marketing,17,13.5,5,SMA
K-204,Keuangan,15,15.2,11,S1
K-205,SDM,8,9.6,7,S1
K-206,SDM,10,13.5,14,S2
K-207,Teknologi,3,9.6,23,S1
K-208,Keuangan,5,10.8,1,S1
K-209,Keuangan,18,15.5,10,S1
K-210,Keuangan,14,13.5,17,S1
K-211,Keuangan,15,14.3,21,SMA
K-212,Marketing,16,14.4,21,S1
K-213,SDM,16,14.9,17,S1
K-214,Operasional,6,10.1,11,S1
K-215,Marketing,8,11.6,1,S2
K-216,SDM,6,11.3,27,S2
K-217,SDM,6,10.0,11,S1
K-218,Keuangan,16,15.3,14,S1
K-219,Operasional,18,14.7,26,S1
K-220,Marketing,16,13.8,11,S1
K-221,Marketing,10,11.9,25,S1
K-222,Keuangan,20,15.7,6,SMA
K-223,Operasional,14,13.4,0,S1
K-224,Marketing,15,13.1,18,S1
K-225,Operasional,20,14.7,12,SMA
K-226,Keuangan,1,7.7,6,S1
K-227,SDM,4,9.5,24,S2
K-228,Teknologi,1,9.1,27,S1
K-229,SDM,11,12.3,21,S1
K-230,Teknologi,0,8.5,12,S1
K-231,SDM,3,7.3,25,SMA
K-232,SDM,9,11.3,11,S1
K-233,Operasional,19,14.4,28,S1
K-234,Teknologi,12,12.9,23,S1
K-235,Marketing,2,8.9,29,S1
K-236,Marketing,14,15.0,28,S2
K-237,Marketing,6,10.3,1,S2
K-238,SDM,13,12.6,4,S1
K-239,Teknologi,5,11.4,15,S1
K-240,Keuangan,8,12.0,10,S2
K-241,Marketing,18,15.9,29,S2
K-242,Marketing,10,11.9,15,S1
K-243,Marketing,10,13.7,4,S2
K-244,Keuangan,12,14.1,23,S1
K-245,Teknologi,3,8.3,3,SMA
K-246,Operasional,6,9.3,20,SMA
K-247,Operasional,0,6.7,30,S1
K-248,SDM,15,12.7,24,S1
K-249,Marketing,13,13.1,13,SMA
K-250,Marketing,20,16.0,28,S1
K-251,Marketing,7,8.6,9,SMA
K-252,Keuangan,3,8.9,0,S1
K-253,SDM,3,6.9,16,SMA
K-254,Keuangan,1,9.0,28,S1
K-255,Teknologi,10,13.4,22,S1
K-256,Marketing,13,14.0,0,S2
K-257,Keuangan,2,9.3,18,S2
K-258,Teknologi,3,8.8,20,S1
K-259,Teknologi,12,15.2,1,S2
K-260,Teknologi,14,14.4,11,S1
K-261,Marketing,6,10.7,8,S1
K-262,Teknologi,1,9.3,6,S2
K-263,Keuangan,6,10.0,30,S1
K-264,Operasional,3,8.7,3,S1
K-265,Teknologi,2,8.1,28,SMA
K-266,Operasional,8,10.8,5,S1
K-267,Marketing,14,15.2,25,S2
K-268,Operasional,20,15.6,8,S1
K-269,Operasional,0,6.8,17,S1
K-270,Operasional,3,7.0,14,S1
K-271,Teknologi,0,8.8,22,S1
K-272,SDM,16,14.3,1,S1
K-273,Marketing,16,14.7,8,S1
K-274,Marketing,5,10.5,7,S2
K-275,Teknologi,5,10.1,2,S1
K-276,Keuangan,12,13.5,19,S1
K-277,Operasional,18,14.9,6,S1
K-278,Marketing,18,15.5,28,S1
K-279,Teknologi,6,11.0,23,S1
K-280,Teknologi,10,11.9,26,SMA
K-281,Keuangan,1,8.2,2,SMA
K-282,Keuangan,9,13.8,21,S2
K-283,Operasional,11,10.2,8,SMA
K-284,Keuangan,11,13.0,23,S1
K-285,Marketing,12,14.1,1,S2
K-286,Operasional,20,16.4,12,S1
K-287,SDM,0,9.1,26,S2
K-288,SDM,17,13.6,16,S1
K-289,Keuangan,14,13.5,19,S1
K-290,Operasional,15,13.3,28,S1
K-291,SDM,16,13.5,3,S1
K-292,Teknologi,12,13.7,14,SMA
K-293,SDM,17,14.4,15,SMA
K-294,Teknologi,9,13.3,9,S2
K-295,Teknologi,8,11.3,29,SMA
K-296,Teknologi,6,9.4,28,SMA
K-297,Teknologi,19,15.9,4,S1
K-298,Operasional,5,9.2,16,S1
K-299,Keuangan,9,12.4,29,S1
K-300,Operasional,9,11.0,9,S1
K-301,Teknologi,4,10.4,0,S1
K-302,Marketing,1,7.0,17,S1
K-303,Marketing,14,12.9,8,S1
K-304,Operasional,3,7.6,18,S1
K-305,SDM,2,9.4,17,S2
K-306,Teknologi,2,11.2,13,S2
K-307,Operasional,16,14.2,8,S2
K-308,Marketing,2,7.2,22,S1
K-309,Operasional,17,14.6,12,S1
K-310,Keuangan,1,8.7,9,S2
K-311,Teknologi,4,10.0,11,S1
K-312,Operasional,2,7.1,13,SMA
K-313,Keuangan,5,9.5,5,S1
K-314,Marketing,18,15.8,3,S1
K-315,Operasional,3,9.7,18,S2
K-316,Keuangan,16,14.5,23,S1
K-317,Operasional,2,8.8,5,S2
K-318,Keuangan,18,17.2,11,S2
K-319,Teknologi,19,16.1,5,SMA
K-320,SDM,20,15.7,7,S1
K-321,Teknologi,1,7.8,23,S1
K-322,Teknologi,4,12.1,7,S2
K-323,SDM,5,8.1,24,S1
K-324,Keuangan,9,11.8,7,S1
K-325,Keuangan,3,9.0,29,SMA
K-326,Keuangan,20,16.2,9,S1
K-327,Operasional,8,10.5,2,S1
K-328,SDM,12,13.4,7,S2
K-329,Keuangan,19,17.2,26,S2
K-330,Marketing,8,10.9,11,S1
K-331,Teknologi,9,13.0,30,S1
K-332,SDM,16,13.8,11,S1
K-333,Teknologi,11,12.9,24,S1
K-334,Operasional,1,6.8,26,S1
K-335,SDM,13,11.7,6,S1
K-336,Operasional,12,10.8,8,SMA
K-337,SDM,4,7.6,13,SMA
K-338,Operasional,8,10.1,0,S1
K-339,Keuangan,9,11.4,26,S1
K-340,Keuangan,11,12.8,28,S1
K-341,Keuangan,10,11.9,19,SMA
K-342,SDM,20,15.3,9,S1
K-343,Teknologi,8,12.7,30,S1
K-344,Teknologi,20,16.7,12,SMA
K-345,Teknologi,7,11.6,8,SMA
K-346,Teknologi,16,16.4,13,S1
K-347,Marketing,7,10.6,10,S1
K-348,Keuangan,2,8.1,21,S1
K-349,SDM,16,12.3,10,SMA
K-350,Keuangan,8,10.5,17,S1
K-351,Operasional,19,14.0,24,SMA
K-352,SDM,14,13.3,3,S1
K-353,Operasional,15,13.8,16,S1
K-354,SDM,19,15.1,0,SMA
K-355,Operasional,5,8.0,30,S1
K-356,Marketing,6,10.2,2,S1
K-357,SDM,3,7.7,24,S1
K-358,Operasional,8,10.4,10,S1
K-359,SDM,5,9.0,1,S1
K-360,SDM,20,17.8,15,S2
K-361,SDM,6,8.1,3,SMA
K-362,Keuangan,2,10.2,3,S2
K-363,Keuangan,1,9.1,12,S1
K-364,Keuangan,8,11.1,6,SMA
K-365,SDM,5,9.4,28,S1
K-366,Teknologi,12,13.1,8,SMA
K-367,Marketing,1,8.2,12,S1
K-368,SDM,5,8.4,16,S1
K-369,Keuangan,16,14.1,23,S1
K-370,SDM,2,8.6,17,S1
K-371,Operasional,17,15.1,28,S1
K-372,Operasional,9,10.5,8,SMA
K-373,Marketing,18,16.1,19,S1
K-374,Marketing,16,14.9,2,S1
K-375,Marketing,14,12.9,14,SMA
K-376,Teknologi,9,13.0,29,S1
K-377,Teknologi,5,10.1,10,S1
K-378,Keuangan,5,10.5,0,S1
K-379,SDM,12,12.9,24,S1
K-380,Operasional,6,9.2,28,S1
K-381,Operasional,3,7.3,17,SMA
K-382,Keuangan,12,14.6,29,S2
K-383,Keuangan,15,15.4,3,S1
K-384,Operasional,0,5.9,2,S1
K-385,SDM,15,13.5,8,S1
K-386,SDM,17,14.9,29,S2
K-387,Marketing,6,9.8,1,S1
K-388,Keuangan,6,9.8,28,S1
K-389,Operasional,13,13.9,5,S2
K-390,Teknologi,8,11.0,13,SMA
K-391,SDM,10,11.2,4,S1
K-392,SDM,9,9.9,21,SMA
K-393,Operasional,4,8.7,12,S1
K-394,Keuangan,0,6.8,15,S1
K-395,Teknologi,7,11.1,19,S1
K-396,Operasional,14,13.7,20,S1
K-397,SDM,0,6.9,10,S1
K-398,Marketing,7,10.3,1,S1
K-399,Marketing,1,9.3,7,S2
K-400,Teknologi,3,8.7,18,S1
K-401,Marketing,7,12.1,3,S2
K-402,Operasional,2,8.4,20,S2
K-403,SDM,1,8.4,11,S2
K-404,Teknologi,12,16.1,16,S2
K-405,Teknologi,7,12.7,23,S2
K-406,Marketing,18,14.5,30,SMA
K-407,Keuangan,17,14.9,14,S1
K-408,Teknologi,19,16.2,9,S1
K-409,Keuangan,6,10.0,0,S1
K-410,Operasional,0,5.7,17,S1
K-411,Keuangan,11,13.6,6,S1
K-412,Operasional,13,11.7,11,S1
K-413,Keuangan,2,7.6,18,SMA
K-414,Marketing,4,9.6,16,S1
K-415,Keuangan,0,7.9,2,S1
K-416,Marketing,2,10.0,25,S2
K-417,Marketing,2,7.5,27,S1
K-418,Teknologi,19,17.7,22,S1
K-419,Keuangan,4,11.6,30,S2
K-420,SDM,17,13.9,18,S1
K-421,Keuangan,13,13.1,4,SMA
K-422,Teknologi,16,15.2,23,SMA
K-423,Marketing,8,10.8,21,S1
K-424,Keuangan,0,8.7,11,S1
K-425,SDM,13,12.4,26,S1
K-426,SDM,15,13.2,10,S1
K-427,Teknologi,5,10.1,20,S1
K-428,SDM,19,15.3,29,SMA
K-429,Teknologi,4,10.8,10,S1
K-430,Marketing,20,16.4,29,S1
K-431,Teknologi,20,18.3,28,S2
K-432,SDM,18,14.1,7,S1
K-433,SDM,15,14.4,19,S1
K-434,Keuangan,9,11.9,0,SMA
K-435,Teknologi,15,14.1,25,S1
K-436,Keuangan,0,8.5,28,S2
K-437,Keuangan,9,11.0,13,S1
K-438,Operasional,7,11.0,20,S2
K-439,Teknologi,17,16.7,3,S1
K-440,Keuangan,1,10.4,24,S2
K-441,Marketing,10,11.8,11,S1
K-442,SDM,9,10.7,7,S1
K-443,Teknologi,17,15.1,7,S1
K-444,SDM,4,8.2,5,S1
K-445,SDM,11,11.3,28,S1
K-446,Teknologi,3,10.0,30,S1
K-447,Keuangan,14,14.0,30,SMA
K-448,Marketing,12,14.0,7,S2
K-449,Teknologi,0,7.4,13,S1
K-450,Teknologi,0,8.7,27,S1
K-451,SDM,4,9.5,29,S1
K-452,SDM,13,13.2,10,S1
K-453,Marketing,6,9.8,14,S1
K-454,Teknologi,16,15.9,27,S1
K-455,Operasional,19,14.8,4,S1
K-456,Keuangan,7,10.8,11,S1
K-457,Operasional,17,15.2,23,S1
K-458,Operasional,3,8.3,7,S1
K-459,Marketing,18,15.0,27,S1
K-460,Operasional,5,9.6,9,S2
K-461,SDM,17,15.6,0,S2
K-462,Teknologi,6,9.7,30,SMA
K-463,Keuangan,19,15.6,22,S1
K-464,SDM,9,10.9,23,S1
K-465,Marketing,5,9.0,8,S1
K-466,Operasional,16,13.4,1,S1
K-467,Marketing,7,10.8,12,S1
K-468,Keuangan,11,12.5,29,S1
K-469,Keuangan,14,12.4,27,SMA
K-470,Keuangan,13,13.4,27,SMA
K-471,Operasional,7,9.7,22,S1
K-472,Marketing,18,14.4,1,SMA
K-473,Marketing,7,10.5,22,S1
K-474,Operasional,2,6.6,22,S1
K-475,Operasional,16,13.9,8,SMA
K-476,Marketing,17,15.2,30,S1
K-477,Teknologi,16,14.8,17,SMA
K-478,Operasional,15,12.6,19,S1
K-479,Operasional,6,8.9,23,S1
K-480,Operasional,1,8.3,8,S2
K-481,SDM,7,9.5,28,S1
K-482,Teknologi,14,14.4,25,S1
K-483,Teknologi,13,13.9,19,S1
K-484,Marketing,4,8.6,18,S1
K-485,SDM,3,7.5,15,S1
K-486,Marketing,7,12.6,18,S2
K-487,Marketing,10,10.2,12,SMA
K-488,Teknologi,5,9.9,11,S1
K-489,Operasional,4,8.6,30,S1
K-490,Operasional,3,8.3,1,S1
K-491,Keuangan,0,7.5,23,SMA
K-492,Operasional,12,11.0,14,S1
K-493,Marketing,3,8.5,13,S1
K-494,Marketing,2,7.6,18,S1
K-495,Keuangan,8,10.8,4,S1
K-496,Teknologi,13,14.5,19,S1
K-497,Teknologi,9,13.2,27,S1
K-498,Operasional,19,16.2,22,S2
K-499,Teknologi,5,9.6,16,S1
K-500,Teknologi,0,8.1,28,S1
