id,tanggal,kota,kategori_usaha,nominal_juta,metode,lunas
T-000034,2025-11-17,Semarang,Retail,0.89,QRIS,Lunas
T-000035,2025-06-19,Denpasar,Kuliner,3.57,Tunai,Lunas
T-000036,2026-01-04,Balikpapan,Pertanian,3.21,Transfer,Lunas
T-000037,2025-08-06,Palembang,Pertanian,7.11,QRIS,Lunas
T-000038,2026-08-08,Palembang,Retail,2.4,Transfer,Lunas
T-000039,2025-09-10,Jakarta,Retail,3.69,Tunai,Lunas
T-000040,2025-07-17,Balikpapan,Kerajinan,2.77,Tunai,Lunas
T-000041,2026-02-25,Denpasar,Pertanian,0.66,QRIS,Lunas
T-000042,2025-12-06,Bandung,Kuliner,3.42,QRIS,Lunas
T-000043,2025-07-10,Yogyakarta,Pertanian,4.52,QRIS,Lunas
T-000044,2026-08-13,Denpasar,Pertanian,2.22,Transfer,Lunas
T-000045,2026-05-14,Medan,Retail,0.59,QRIS,Lunas
T-000046,2025-08-18,Makassar,Kerajinan,3.13,Tunai,Lunas
T-000047,2026-06-26,Semarang,Kuliner,7.66,QRIS,Lunas
T-000048,2025-06-18,Yogyakarta,Jasa,1.93,QRIS,Lunas
T-000049,2025-06-19,Medan,Kerajinan,1.72,QRIS,Lunas
T-000050,2026-04-11,Medan,Kerajinan,3.2,Transfer,Lunas
T-000051,2026-07-06,Denpasar,Pertanian,2.17,QRIS,Lunas
T-000052,2026-06-29,Yogyakarta,Kerajinan,13.54,Transfer,Lunas
T-000053,2026-04-12,Palembang,Pertanian,1.2,QRIS,Lunas
T-000054,2026-05-30,Surabaya,Kuliner,6.56,Transfer,Lunas
T-000055,2026-01-08,Semarang,Jasa,7.65,Transfer,Lunas
T-000056,2025-06-22,Makassar,Kerajinan,3.44,Transfer,Belum
T-000057,2025-11-14,Jakarta,Pertanian,2.61,QRIS,Tempo
T-000058,2026-01-17,Medan,Retail,2.56,QRIS,Lunas
T-000059,2025-06-18,Makassar,Pertanian,11.13,Transfer,Lunas
T-000060,2026-06-14,Surabaya,Kerajinan,1.84,Transfer,Belum
T-000061,2025-09-25,Makassar,Pertanian,3.87,QRIS,Lunas
T-000062,2026-02-09,Denpasar,Kuliner,1.65,Tunai,Lunas
T-000063,2025-06-09,Medan,Kuliner,5.69,QRIS,Lunas
T-000064,2026-08-19,Makassar,Kuliner,2.55,Tunai,Lunas
T-000065,2025-08-31,Balikpapan,Pertanian,2.15,Transfer,Lunas
T-000066,2025-12-30,Surabaya,Kuliner,3.32,QRIS,Lunas
T-000067,2026-04-04,Medan,Kuliner,2.06,Transfer,Lunas
T-000068,2026-06-05,Denpasar,Retail,4.21,Tunai,Lunas
T-000069,2025-09-21,Balikpapan,Kuliner,1.4,QRIS,Lunas
T-000070,2026-01-15,Balikpapan,Kerajinan,3.44,Tunai,Lunas
T-000071,2026-08-28,Bandung,Kuliner,2.02,QRIS,Belum
T-000072,2026-05-26,Makassar,Pertanian,3.72,QRIS,Lunas
T-000073,2026-01-27,Denpasar,Jasa,0.73,Transfer,Lunas
T-000074,2026-06-09,Yogyakarta,Retail,0.73,QRIS,Lunas
T-000075,2026-06-01,Palembang,Kuliner,4.89,QRIS,Tempo
T-000076,2025-08-02,Balikpapan,Kerajinan,0.51,QRIS,Lunas
T-000077,2026-04-01,Palembang,Jasa,1.02,QRIS,Lunas
T-000078,2025-08-28,Yogyakarta,Pertanian,2.86,Tunai,Tempo
T-000079,2026-07-21,Medan,Jasa,5.42,QRIS,Tempo
T-000080,2025-10-02,Denpasar,Kuliner,2.79,Transfer,Lunas
T-000081,2026-08-11,Makassar,Kerajinan,3.26,Transfer,Lunas
T-000082,2025-07-06,Semarang,Kerajinan,0.6,Tunai,Lunas
T-000083,2026-03-18,Makassar,Pertanian,10.76,QRIS,Tempo
T-000084,2025-06-29,Surabaya,Retail,2.09,QRIS,Tempo
T-000085,2025-11-01,Makassar,Jasa,1.78,QRIS,Tempo
T-000086,2026-02-06,Yogyakarta,Pertanian,2.49,QRIS,Lunas
T-000087,2025-11-12,Balikpapan,Kuliner,4.53,Transfer,Lunas
T-000088,2026-07-31,Medan,Jasa,4.21,QRIS,Lunas
T-000089,2026-01-14,Jakarta,Pertanian,3.15,QRIS,Lunas
T-000090,2025-11-18,Palembang,Pertanian,1.23,Transfer,Tempo
T-000091,2026-03-17,Denpasar,Retail,5.67,Transfer,Lunas
T-000092,2026-04-28,Surabaya,Kerajinan,5.06,Transfer,Tempo
T-000093,2025-09-07,Jakarta,Retail,8.5,Tunai,Tempo
T-000094,2026-04-06,Semarang,Kerajinan,5.85,QRIS,Lunas
T-000095,2026-02-28,Palembang,Jasa,7.34,QRIS,Lunas
T-000096,2025-06-30,Semarang,Pertanian,1.51,QRIS,Lunas
T-000097,2025-10-25,Semarang,Retail,1.46,Tunai,Belum
T-000098,2026-01-16,Bandung,Kuliner,3.33,Transfer,Lunas
T-000099,2025-10-25,Surabaya,Retail,6.62,QRIS,Lunas
T-000100,2025-06-10,Yogyakarta,Retail,0.15,Transfer,Lunas
T-000101,2025-12-21,Denpasar,Kerajinan,1.3,Transfer,Lunas
T-000102,2026-02-11,Makassar,Kerajinan,2.88,Tunai,Lunas
T-000103,2025-08-19,Jakarta,Retail,7.93,Transfer,Lunas
T-000104,2026-08-27,Semarang,Jasa,0.65,Transfer,Lunas
T-000105,2026-08-24,Balikpapan,Pertanian,5.82,Transfer,Lunas
T-000106,2026-06-25,Balikpapan,Retail,3.76,Transfer,Lunas
T-000107,2026-08-01,Balikpapan,Kuliner,3.43,QRIS,Lunas
T-000108,2026-03-27,Medan,Kerajinan,0.29,Tunai,Lunas
T-000109,2026-03-05,Bandung,Retail,2.46,Tunai,Lunas
T-000110,2025-07-05,Denpasar,Kerajinan,1.04,QRIS,Lunas
T-000111,2026-04-12,Bandung,Retail,2.31,QRIS,Lunas
T-000112,2026-05-29,Denpasar,Kuliner,0.58,QRIS,Tempo
T-000113,2025-07-26,Makassar,Kerajinan,3.94,Transfer,Belum
T-000114,2026-02-04,Surabaya,Retail,0.71,QRIS,Lunas
T-000115,2025-06-24,Medan,Pertanian,1.24,QRIS,Lunas
T-000116,2026-04-07,Makassar,Kuliner,8.24,QRIS,Lunas
T-000117,2026-08-04,Bandung,Retail,3.35,Tunai,Lunas
T-000118,2025-10-28,Semarang,Jasa,6.07,Tunai,Lunas
T-000119,2025-11-28,Jakarta,Kuliner,2.23,QRIS,Tempo
T-000120,2026-01-21,Balikpapan,Retail,4.46,QRIS,Lunas
T-000121,2025-11-26,Denpasar,Pertanian,2.17,Transfer,Tempo
T-000122,2026-08-12,Medan,Kerajinan,4.0,QRIS,Tempo
T-000123,2025-08-05,Balikpapan,Pertanian,1.7,Tunai,Belum
T-000124,2026-04-11,Bandung,Pertanian,1.7,Tunai,Lunas
T-000125,2025-11-21,Jakarta,Pertanian,6.26,Transfer,Lunas
T-000126,2026-07-30,Yogyakarta,Kuliner,1.63,Tunai,Lunas
T-000127,2025-11-24,Makassar,Pertanian,7.26,Transfer,Lunas
T-000128,2026-03-22,Medan,Kuliner,5.23,Transfer,Lunas
T-000129,2026-05-04,Bandung,Pertanian,0.97,QRIS,Belum
T-000130,2026-09-01,Denpasar,Kuliner,0.41,Tunai,Lunas
T-000131,2026-02-01,Balikpapan,Pertanian,10.41,QRIS,Lunas
T-000132,2025-11-30,Semarang,Kuliner,0.92,QRIS,Lunas
T-000133,2025-09-27,Medan,Pertanian,3.54,Transfer,Lunas
T-000134,2025-07-27,Surabaya,Jasa,1.15,QRIS,Lunas
T-000135,2026-08-01,Makassar,Jasa,15.43,Tunai,Lunas
T-000136,2026-08-23,Yogyakarta,Pertanian,1.87,QRIS,Lunas
T-000137,2025-12-19,Makassar,Retail,1.0,QRIS,Lunas
T-000138,2026-02-22,Makassar,Kerajinan,5.08,Tunai,Lunas
T-000139,2026-02-03,Yogyakarta,Pertanian,0.58,Transfer,Lunas
T-000140,2026-03-03,Semarang,Pertanian,4.42,Transfer,Belum
T-000141,2026-08-22,Denpasar,Kuliner,1.09,Tunai,Lunas
T-000142,2026-05-03,Palembang,Pertanian,5.93,Transfer,Lunas
T-000143,2025-11-08,Surabaya,Retail,1.13,Tunai,Lunas
T-000144,2026-08-23,Palembang,Pertanian,9.75,Tunai,Lunas
T-000145,2025-10-31,Medan,Kuliner,2.45,Transfer,Lunas
T-000146,2025-06-25,Medan,Jasa,1.01,Tunai,Lunas
T-000147,2026-08-10,Yogyakarta,Pertanian,5.03,Transfer,Lunas
T-000148,2025-06-13,Palembang,Retail,8.74,Tunai,Lunas
T-000149,2025-10-19,Yogyakarta,Kuliner,2.07,QRIS,Lunas
T-000150,2025-09-21,Balikpapan,Kerajinan,3.92,Transfer,Lunas
T-000151,2026-05-03,Denpasar,Pertanian,1.98,QRIS,Lunas
T-000152,2026-01-14,Denpasar,Jasa,3.78,QRIS,Lunas
T-000153,2025-12-22,Palembang,Kerajinan,1.94,Tunai,Lunas
T-000154,2025-06-09,Palembang,Jasa,11.64,Tunai,Lunas
T-000155,2025-09-27,Medan,Jasa,7.09,Transfer,Lunas
T-000156,2025-07-01,Makassar,Kuliner,3.85,Tunai,Lunas
T-000157,2026-02-13,Bandung,Kuliner,0.31,Transfer,Lunas
T-000158,2025-12-06,Bandung,Kuliner,2.41,Tunai,Belum
T-000159,2026-02-08,Palembang,Pertanian,3.56,Transfer,Lunas
T-000160,2026-07-04,Jakarta,Pertanian,1.47,QRIS,Lunas
T-000161,2026-05-04,Denpasar,Kuliner,3.39,QRIS,Tempo
T-000162,2025-10-05,Surabaya,Jasa,0.74,Tunai,Lunas
T-000163,2025-11-29,Medan,Jasa,2.14,Transfer,Lunas
T-000164,2026-07-29,Bandung,Retail,0.54,Tunai,Lunas
T-000165,2026-05-06,Semarang,Pertanian,3.04,Tunai,Lunas
T-000166,2026-06-23,Makassar,Jasa,4.18,Transfer,Lunas
T-000167,2025-08-25,Yogyakarta,Jasa,2.64,QRIS,Lunas
T-000168,2025-09-10,Medan,Pertanian,3.48,QRIS,Lunas
T-000169,2026-08-21,Bandung,Retail,0.71,Transfer,Lunas
T-000170,2025-06-29,Semarang,Pertanian,1.48,Tunai,Lunas
T-000171,2025-12-18,Balikpapan,Pertanian,5.34,QRIS,Lunas
T-000172,2025-08-25,Yogyakarta,Jasa,1.94,QRIS,Lunas
T-000173,2025-12-10,Medan,Kerajinan,3.75,Transfer,Lunas
T-000174,2026-06-04,Bandung,Retail,3.55,Tunai,Lunas
T-000175,2026-06-27,Denpasar,Pertanian,5.52,Transfer,Lunas
T-000176,2025-06-24,Palembang,Kerajinan,4.94,QRIS,Tempo
T-000177,2025-08-12,Medan,Pertanian,1.27,Tunai,Tempo
T-000178,2025-12-10,Denpasar,Kerajinan,5.14,QRIS,Lunas
T-000179,2026-02-07,Palembang,Pertanian,1.36,Tunai,Lunas
T-000180,2026-01-26,Medan,Kuliner,0.66,QRIS,Lunas
T-000181,2026-05-23,Palembang,Kerajinan,1.04,Transfer,Tempo
T-000182,2025-07-27,Denpasar,Pertanian,3.17,QRIS,Lunas
T-000183,2026-06-19,Bandung,Retail,3.33,QRIS,Lunas
T-000184,2025-08-13,Denpasar,Retail,1.89,QRIS,Belum
T-000185,2026-06-03,Medan,Kuliner,3.54,Transfer,Lunas
T-000186,2025-11-20,Palembang,Jasa,1.07,Tunai,Lunas
T-000187,2025-11-10,Surabaya,Pertanian,1.56,Transfer,Lunas
T-000188,2025-10-13,Semarang,Kuliner,1.29,QRIS,Lunas
T-000189,2026-05-11,Bandung,Kuliner,2.56,QRIS,Lunas
T-000190,2025-10-28,Medan,Jasa,4.97,Transfer,Lunas
T-000191,2026-02-21,Bandung,Kuliner,3.63,QRIS,Lunas
T-000192,2025-09-05,Denpasar,Jasa,5.53,Tunai,Lunas
T-000193,2025-10-05,Jakarta,Kuliner,2.2,QRIS,Lunas
T-000194,2026-08-11,Bandung,Kerajinan,3.72,QRIS,Lunas
T-000195,2026-05-12,Makassar,Kerajinan,4.86,QRIS,Lunas
T-000196,2026-01-26,Palembang,Kerajinan,0.66,QRIS,Tempo
T-000197,2025-06-02,Palembang,Pertanian,8.67,Tunai,Lunas
T-000198,2025-11-30,Surabaya,Jasa,0.55,Transfer,Lunas
T-000199,2025-06-20,Makassar,Pertanian,5.4,QRIS,Lunas
T-000200,2026-03-11,Semarang,Kuliner,0.97,Tunai,Lunas
T-000201,2026-05-10,Semarang,Jasa,1.7,QRIS,Tempo
T-000202,2025-06-20,Yogyakarta,Kerajinan,5.56,QRIS,Lunas
T-000203,2025-08-06,Denpasar,Kuliner,1.6,QRIS,Lunas
T-000204,2026-02-01,Palembang,Jasa,1.04,Transfer,Lunas
T-000205,2025-08-30,Palembang,Retail,14.68,Tunai,Tempo
T-000206,2025-07-24,Bandung,Jasa,0.35,QRIS,Lunas
T-000207,2026-06-11,Makassar,Kuliner,4.24,QRIS,Lunas
T-000208,2025-06-05,Palembang,Kerajinan,0.87,QRIS,Lunas
T-000209,2025-07-28,Balikpapan,Pertanian,3.33,Tunai,Lunas
T-000210,2025-07-18,Denpasar,Pertanian,6.67,Tunai,Belum
T-000211,2026-08-19,Surabaya,Jasa,0.56,Tunai,Lunas
T-000212,2026-03-30,Semarang,Kerajinan,0.88,QRIS,Lunas
T-000213,2026-04-27,Bandung,Jasa,1.21,Transfer,Lunas
T-000214,2025-12-16,Surabaya,Retail,0.71,QRIS,Lunas
T-000215,2026-03-18,Palembang,Kuliner,3.03,QRIS,Lunas
T-000216,2025-11-04,Jakarta,Kuliner,11.8,QRIS,Lunas
T-000217,2025-06-19,Jakarta,Retail,0.6,QRIS,Lunas
T-000218,2025-10-20,Palembang,Kerajinan,0.45,Tunai,Lunas
T-000219,2026-01-25,Semarang,Pertanian,2.88,QRIS,Lunas
T-000220,2025-10-11,Medan,Retail,1.24,QRIS,Lunas
T-000221,2026-08-25,Balikpapan,Kerajinan,3.36,Tunai,Lunas
T-000222,2026-01-21,Balikpapan,Kerajinan,5.08,QRIS,Lunas
T-000223,2026-01-05,Bandung,Pertanian,12.09,Tunai,Lunas
T-000224,2025-10-16,Medan,Kuliner,0.43,Tunai,Lunas
T-000225,2025-12-07,Surabaya,Kuliner,3.03,Tunai,Lunas
T-000226,2026-05-13,Balikpapan,Jasa,3.02,Transfer,Lunas
T-000227,2026-05-29,Makassar,Retail,2.13,QRIS,Lunas
T-000228,2025-12-28,Balikpapan,Jasa,2.36,QRIS,Lunas
T-000229,2025-08-24,Palembang,Jasa,1.66,Transfer,Lunas
T-000230,2025-12-31,Yogyakarta,Kuliner,3.1,Transfer,Lunas
T-000231,2025-12-07,Balikpapan,Jasa,3.11,Transfer,Lunas
T-000232,2026-02-21,Makassar,Pertanian,6.15,QRIS,Lunas
T-000233,2025-09-13,Yogyakarta,Retail,1.53,QRIS,Lunas
T-000234,2026-03-14,Balikpapan,Pertanian,0.71,Transfer,Belum
T-000235,2025-12-26,Yogyakarta,Pertanian,2.92,Tunai,Tempo
T-000236,2025-08-30,Medan,Jasa,0.34,Tunai,Lunas
T-000237,2026-06-17,Palembang,Jasa,1.11,QRIS,Lunas
T-000238,2025-11-21,Surabaya,Jasa,11.86,QRIS,Tempo
T-000239,2025-07-09,Palembang,Kuliner,3.53,Tunai,Lunas
T-000240,2026-06-26,Jakarta,Kuliner,3.1,Transfer,Lunas
T-000241,2025-09-04,Semarang,Retail,1.53,Transfer,Lunas
T-000242,2025-11-09,Medan,Kerajinan,1.06,QRIS,Lunas
T-000243,2025-07-25,Makassar,Retail,5.01,QRIS,Lunas
T-000244,2026-01-15,Denpasar,Kuliner,1.01,QRIS,Tempo
T-000245,2025-12-17,Yogyakarta,Pertanian,2.95,Tunai,Lunas
T-000246,2025-11-01,Surabaya,Jasa,0.86,Transfer,Lunas
T-000247,2026-01-21,Denpasar,Kerajinan,1.69,Transfer,Lunas
T-000248,2026-07-24,Semarang,Pertanian,2.41,QRIS,Tempo
T-000249,2026-07-16,Palembang,Kerajinan,11.74,QRIS,Lunas
T-000250,2026-02-28,Balikpapan,Retail,5.2,QRIS,Lunas
T-000251,2026-05-11,Semarang,Pertanian,2.35,Transfer,Lunas
T-000252,2026-01-23,Surabaya,Jasa,1.71,QRIS,Lunas
T-000253,2025-11-14,Medan,Kuliner,1.52,QRIS,Lunas
T-000254,2025-11-23,Semarang,Kerajinan,1.24,QRIS,Lunas
T-000255,2025-06-10,Makassar,Retail,5.12,Tunai,Lunas
T-000256,2026-06-13,Yogyakarta,Kuliner,1.95,Tunai,Lunas
T-000257,2025-08-29,Makassar,Pertanian,4.97,QRIS,Lunas
T-000258,2026-08-11,Yogyakarta,Pertanian,5.59,Transfer,Lunas
T-000259,2025-10-13,Jakarta,Retail,14.42,QRIS,Lunas
T-000260,2025-08-16,Makassar,Jasa,0.3,QRIS,Lunas
T-000261,2026-02-23,Denpasar,Jasa,0.84,Transfer,Tempo
T-000262,2025-07-19,Surabaya,Jasa,0.2,Transfer,Tempo
T-000263,2026-02-03,Medan,Kuliner,1.98,QRIS,Belum
T-000264,2025-06-10,Bandung,Retail,5.04,QRIS,Lunas
T-000265,2026-05-26,Denpasar,Kerajinan,7.65,QRIS,Tempo
T-000266,2025-12-08,Yogyakarta,Pertanian,1.99,Transfer,Lunas
T-000267,2026-07-17,Balikpapan,Retail,4.48,Transfer,Lunas
T-000268,2026-08-04,Balikpapan,Kerajinan,2.59,Tunai,Lunas
T-000269,2026-06-09,Balikpapan,Pertanian,1.06,Tunai,Lunas
T-000270,2026-07-28,Bandung,Jasa,2.66,QRIS,Lunas
T-000271,2026-05-31,Surabaya,Jasa,1.27,QRIS,Lunas
T-000272,2025-06-22,Semarang,Kerajinan,1.59,Transfer,Lunas
T-000273,2026-08-14,Balikpapan,Pertanian,1.1,Transfer,Lunas
T-000274,2026-08-10,Denpasar,Kuliner,1.17,Transfer,Belum
T-000275,2026-07-06,Bandung,Kerajinan,1.41,Transfer,Lunas
T-000276,2026-08-23,Surabaya,Pertanian,4.0,Tunai,Tempo
T-000277,2026-05-12,Bandung,Pertanian,1.71,Tunai,Lunas
T-000278,2026-08-25,Jakarta,Kerajinan,2.9,Tunai,Lunas
T-000279,2026-04-07,Jakarta,Jasa,1.47,Transfer,Lunas
T-000280,2026-01-25,Surabaya,Pertanian,1.53,QRIS,Lunas
T-000281,2025-10-21,Semarang,Retail,0.61,QRIS,Lunas
T-000282,2026-06-12,Semarang,Jasa,1.15,QRIS,Tempo
T-000283,2026-04-02,Medan,Kerajinan,1.93,QRIS,Lunas
T-000284,2025-07-26,Semarang,Retail,2.4,QRIS,Lunas
T-000285,2026-05-10,Balikpapan,Kerajinan,3.11,Tunai,Lunas
T-000286,2025-07-01,Denpasar,Kuliner,5.8,QRIS,Lunas
T-000287,2025-09-26,Surabaya,Pertanian,2.73,Tunai,Tempo
T-000288,2025-11-29,Surabaya,Pertanian,1.0,Transfer,Lunas
T-000289,2026-07-07,Bandung,Retail,1.99,QRIS,Lunas
T-000290,2026-04-02,Bandung,Kuliner,1.95,Transfer,Lunas
T-000291,2026-08-30,Denpasar,Kerajinan,0.73,QRIS,Lunas
T-000292,2026-05-05,Surabaya,Kuliner,1.9,QRIS,Lunas
T-000293,2025-07-28,Jakarta,Kuliner,3.43,Tunai,Tempo
T-000294,2026-08-06,Medan,Jasa,3.11,Transfer,Lunas
T-000295,2026-01-01,Denpasar,Jasa,3.74,QRIS,Belum
T-000296,2026-01-28,Bandung,Kuliner,1.37,QRIS,Lunas
T-000297,2026-04-17,Makassar,Kuliner,3.73,QRIS,Lunas
T-000298,2025-12-18,Surabaya,Retail,1.44,Transfer,Belum
T-000299,2026-02-10,Yogyakarta,Pertanian,1.05,Tunai,Lunas
T-000300,2026-03-04,Jakarta,Kerajinan,1.1,QRIS,Lunas
T-000301,2025-09-10,Palembang,Kerajinan,2.21,Tunai,Lunas
T-000302,2025-08-08,Yogyakarta,Kuliner,3.79,QRIS,Lunas
T-000303,2026-06-07,Makassar,Pertanian,1.75,QRIS,Lunas
T-000304,2026-04-14,Denpasar,Retail,6.04,Transfer,Lunas
T-000305,2025-09-22,Jakarta,Jasa,1.25,Transfer,Lunas
T-000306,2026-05-13,Semarang,Jasa,6.6,Transfer,Lunas
T-000307,2025-07-13,Surabaya,Kuliner,4.59,QRIS,Lunas
T-000308,2025-07-16,Balikpapan,Kerajinan,17.82,Transfer,Lunas
T-000309,2026-03-04,Makassar,Kerajinan,14.45,Transfer,Lunas
T-000310,2025-12-29,Jakarta,Retail,0.94,QRIS,Lunas
T-000311,2025-12-09,Balikpapan,Retail,2.76,Tunai,Belum
T-000312,2026-04-18,Semarang,Kuliner,6.61,QRIS,Belum
T-000313,2026-02-23,Makassar,Retail,3.68,QRIS,Lunas
T-000314,2026-08-03,Denpasar,Retail,2.91,QRIS,Lunas
T-000315,2025-07-05,Jakarta,Kuliner,0.73,QRIS,Lunas
T-000316,2026-01-27,Medan,Kerajinan,0.94,Transfer,Lunas
T-000317,2026-03-09,Surabaya,Jasa,2.75,QRIS,Lunas
T-000318,2026-04-28,Semarang,Pertanian,1.05,Tunai,Belum
T-000319,2025-07-02,Balikpapan,Kerajinan,0.81,Tunai,Lunas
T-000320,2026-07-23,Palembang,Retail,1.21,QRIS,Tempo
T-000321,2026-08-04,Surabaya,Pertanian,1.98,QRIS,Lunas
T-000322,2025-07-26,Balikpapan,Kuliner,4.18,Tunai,Lunas
T-000323,2026-04-18,Surabaya,Kuliner,1.32,QRIS,Lunas
T-000324,2026-05-26,Surabaya,Retail,1.63,Transfer,Lunas
T-000325,2025-09-20,Palembang,Kuliner,7.49,QRIS,Lunas
T-000326,2026-01-31,Jakarta,Jasa,1.67,QRIS,Tempo
T-000327,2026-04-16,Palembang,Retail,3.93,Transfer,Lunas
T-000328,2025-09-17,Medan,Retail,0.65,Transfer,Tempo
T-000329,2025-10-07,Jakarta,Jasa,2.56,Transfer,Lunas
T-000330,2025-09-15,Yogyakarta,Retail,0.6,QRIS,Lunas
T-000331,2025-07-11,Surabaya,Retail,8.4,QRIS,Lunas
T-000332,2026-08-03,Makassar,Kerajinan,21.9,QRIS,Lunas
T-000333,2026-06-16,Balikpapan,Retail,2.98,Tunai,Lunas
T-000334,2025-07-14,Surabaya,Kuliner,8.15,Tunai,Lunas
T-000335,2025-12-23,Bandung,Kuliner,2.4,Transfer,Lunas
T-000336,2025-06-10,Medan,Jasa,0.78,QRIS,Tempo
T-000337,2026-07-23,Denpasar,Pertanian,0.63,QRIS,Lunas
T-000338,2026-06-22,Yogyakarta,Kerajinan,1.13,Transfer,Lunas
T-000339,2026-03-26,Jakarta,Kuliner,4.72,QRIS,Lunas
T-000340,2025-09-26,Semarang,Retail,0.57,Tunai,Lunas
T-000341,2026-04-07,Semarang,Kerajinan,5.55,QRIS,Lunas
T-000342,2025-11-24,Palembang,Jasa,13.05,Transfer,Lunas
T-000343,2026-08-04,Makassar,Pertanian,7.89,Tunai,Lunas
T-000344,2026-07-06,Balikpapan,Pertanian,6.02,QRIS,Belum
T-000345,2025-09-03,Bandung,Retail,0.75,Transfer,Lunas
T-000346,2025-12-08,Bandung,Kuliner,2.72,QRIS,Tempo
T-000347,2026-03-21,Makassar,Kerajinan,0.27,Tunai,Lunas
T-000348,2025-11-15,Denpasar,Jasa,0.83,Tunai,Lunas
T-000349,2026-02-09,Denpasar,Kuliner,0.61,QRIS,Lunas
T-000350,2026-06-21,Yogyakarta,Pertanian,1.16,QRIS,Lunas
T-000351,2026-05-15,Balikpapan,Kerajinan,18.69,QRIS,Lunas
T-000352,2026-02-09,Bandung,Jasa,6.97,Transfer,Lunas
T-000353,2026-07-28,Yogyakarta,Jasa,19.91,Tunai,Lunas
T-000354,2025-12-05,Jakarta,Retail,2.77,QRIS,Lunas
T-000355,2026-06-19,Makassar,Kuliner,2.38,Transfer,Lunas
T-000356,2026-07-20,Medan,Kerajinan,1.64,Transfer,Lunas
T-000357,2026-08-13,Jakarta,Kerajinan,1.52,Tunai,Lunas
T-000358,2026-03-03,Bandung,Kerajinan,0.86,Transfer,Tempo
T-000359,2025-12-22,Palembang,Retail,3.7,QRIS,Lunas
T-000360,2026-03-08,Bandung,Kuliner,1.39,Transfer,Lunas
T-000361,2025-08-21,Medan,Pertanian,0.98,QRIS,Lunas
T-000362,2026-07-21,Surabaya,Retail,1.66,Tunai,Lunas
T-000363,2026-03-27,Bandung,Retail,7.45,Transfer,Lunas
T-000364,2026-08-31,Bandung,Kerajinan,2.46,Transfer,Belum
T-000365,2025-11-07,Palembang,Kuliner,3.99,Transfer,Lunas
T-000366,2026-06-13,Bandung,Jasa,1.74,Transfer,Lunas
T-000367,2026-02-21,Yogyakarta,Pertanian,5.32,Tunai,Lunas
T-000368,2025-06-21,Medan,Kuliner,0.93,QRIS,Tempo
T-000369,2026-07-25,Balikpapan,Kerajinan,3.27,Transfer,Tempo
T-000370,2025-08-11,Surabaya,Retail,4.56,Tunai,Lunas
T-000371,2025-11-09,Denpasar,Kuliner,1.65,Transfer,Lunas
T-000372,2025-08-11,Balikpapan,Pertanian,0.91,QRIS,Lunas
T-000373,2025-12-08,Makassar,Pertanian,4.31,Tunai,Lunas
